iter	CrossEntropy
0	0.6921512455
1	0.6882650556
2	0.6882650547
3	0.6851824479
4	0.6851824479
5	0.6808632209
6	0.6808632152
7	0.6761903791
8	0.6707950422
9	0.6667542443
10	0.6629199147
11	0.6506625963
12	0.6446791949
13	0.6446758594
14	0.6445299205
15	0.6411785627
16	0.6410989459
17	0.6410966884
18	0.6337340727
19	0.633557165
20	0.6335553731
21	0.6184946934
22	0.6184740323
23	0.6184724198
24	0.605558704
25	0.6050855338
26	0.5932268128
27	0.5932229494
28	0.5814244418
29	0.5719894063
30	0.5607275966
31	0.5473943012
32	0.5473907765
33	0.5414486894
34	0.5402068856
35	0.5402034561
36	0.5284627256
37	0.5195945351
38	0.5129292566
39	0.51220636
40	0.5122025704
41	0.5018549525
42	0.5018515611
43	0.5008759424
44	0.5008730118
45	0.5008702544
46	0.4906293182
47	0.4898110884
48	0.4799393188
49	0.4755096429
50	0.4755078949
51	0.4744527587
52	0.4742364175
53	0.4741731961
54	0.4739182296
55	0.4673841206
56	0.4657444269
57	0.4628233266
58	0.4628214615
59	0.4626860829
60	0.4621103477
61	0.4618239749
62	0.4618224687
63	0.4592828577
64	0.4592812003
65	0.4581318098
66	0.4561653969
67	0.4559990315
68	0.4556402002
69	0.4552642245
70	0.4552630748
71	0.4463450262
72	0.4450177768
73	0.436667073
74	0.429245285
75	0.4220980682
76	0.4164236544
77	0.4156361597
78	0.4113136991
79	0.4080236261
80	0.4066805354
81	0.4066780471
82	0.4045127455
83	0.4042417413
84	0.4021255443
85	0.4016367991
86	0.3967385819
87	0.3967357184
88	0.3966737946
89	0.3897697981
90	0.3897677576
91	0.3883787951
92	0.388376764
93	0.3874529164
94	0.3827921787
95	0.3827901147
96	0.3826982399
97	0.3826964215
98	0.3826947104
99	0.3826852906
100	0.3823967156
101	0.3791728657
102	0.377293173
103	0.3772910567
104	0.3772897135
105	0.3762902047
106	0.3751117966
107	0.3715058796
108	0.3695065036
109	0.3662576154
110	0.3626659054
111	0.362665848
112	0.3612153803
113	0.3589639099
114	0.3587320517
115	0.3522891906
116	0.3485765965
117	0.348576488
118	0.3485292089
119	0.3469169708
120	0.3422427382
121	0.3422427052
122	0.3422426774
123	0.3417574325
124	0.3406037327
125	0.3400664067
126	0.3400662211
127	0.3400660712
128	0.3400660468
129	0.3396995978
130	0.3374022962
131	0.3374021238
132	0.3374019294
133	0.3354158219
134	0.3354157873
135	0.3349863432
136	0.3327451205
137	0.331667466
138	0.3313863894
139	0.3313863792
140	0.3283866306
141	0.3283866139
142	0.3264729077
143	0.3264664727
144	0.3232741826
145	0.3199734012
146	0.3195639585
147	0.319563957
148	0.3175653915
149	0.3175653846
150	0.3174306535
151	0.3171971352
152	0.3171923388
153	0.3138692411
154	0.3126816478
155	0.3122374859
156	0.3107249627
157	0.3101859069
158	0.3099917941
159	0.30816975
160	0.3081618143
161	0.3061648209
162	0.3059724971
163	0.3059343924
164	0.3059343809
165	0.3058915138
166	0.3056056751
167	0.305605671
168	0.3054930543
169	0.3045264919
170	0.3042474763
171	0.3038747093
172	0.3034170955
173	0.303402509
174	0.3020003779
175	0.3020003727
176	0.3020003706
177	0.3014395908
178	0.3012738618
179	0.3012738581
180	0.3012703983
181	0.3012549121
182	0.3000273697
183	0.3000273589
184	0.2968289515
185	0.2956170838
186	0.2922692602
187	0.2922692586
188	0.2922692576
189	0.2922692561
190	0.2922281674
191	0.2922203635
192	0.2922120743
193	0.2916082175
194	0.2897670859
195	0.2895571426
196	0.2895571337
197	0.2895087413
198	0.2892415739
199	0.2888472822
200	0.2879721879
201	0.2879686638
202	0.2877405164
203	0.2872283705
204	0.2860192452
205	0.286018038
206	0.2841272874
207	0.2841272869
208	0.2827555269
209	0.2827550441
210	0.2825898956
211	0.2825898937
212	0.2825898907
213	0.2820615375
214	0.2820402204
215	0.2791839968
216	0.2757868144
217	0.2751358423
218	0.2751358094
219	0.2744359602
220	0.2744359479
221	0.2723184716
222	0.2692069727
223	0.2691823466
224	0.2691823281
225	0.2668490411
226	0.2633236767
227	0.2630401541
228	0.2630400802
229	0.2630400734
230	0.2623171432
231	0.2623171426
232	0.262317142
233	0.2620428447
234	0.2620260731
235	0.2619919072
236	0.2619918902
237	0.2619786252
238	0.2586723679
239	0.2579264585
240	0.2576284442
241	0.2567013622
242	0.2552428884
243	0.2535187674
244	0.2523574592
245	0.2516339363
246	0.2498461284
247	0.2473072328
248	0.2473055899
249	0.2473055705
250	0.2472456252
251	0.2465028562
252	0.2464069255
253	0.2455245135
254	0.2445018363
255	0.2437221047
256	0.2437220785
257	0.2437204869
258	0.2433066205
259	0.2433066196
260	0.2433066186
261	0.2428393324
262	0.2420182294
263	0.242018229
264	0.2420182228
265	0.2417364807
266	0.2414577494
267	0.2414577461
268	0.2399605531
269	0.2395110782
270	0.239375348
271	0.239375342
272	0.2380652492
273	0.237778262
274	0.2372438599
275	0.2369538554
276	0.2369527396
277	0.2369527387
278	0.2369047228
279	0.2367541983
280	0.2367541836
281	0.2367541814
282	0.2367511802
283	0.2367511752
284	0.2364992341
285	0.2360876903
286	0.2360876253
287	0.235510563
288	0.2354711009
289	0.2347458886
290	0.2347458861
291	0.2346988507
292	0.2346988498
293	0.2345269577
294	0.2345269542
295	0.2343594818
296	0.2342800319
297	0.2342800261
298	0.2340201196
299	0.2340201172
300	0.2322161986
301	0.2309458317
302	0.2308972487
303	0.2300605315
304	0.2288415788
305	0.2287468565
306	0.2285078102
307	0.2283511584
308	0.228347314
309	0.2283473096
310	0.2283472611
311	0.2276755966
312	0.2256788344
313	0.225576955
314	0.2253374577
315	0.2253295956
316	0.2253161655
317	0.2227633845
318	0.2227170616
319	0.2226996117
320	0.2211843144
321	0.2210500596
322	0.2210499684
323	0.2210497395
324	0.2203950277
325	0.2184404971
326	0.2176756876
327	0.2161398672
328	0.2160789014
329	0.2159752472
330	0.2159579038
331	0.2158882647
332	0.2156514123
333	0.2149088282
334	0.2146370359
335	0.2146370313
336	0.2146370056
337	0.2146216114
338	0.2145115477
339	0.2145055459
340	0.2134158632
341	0.2133330396
342	0.213333039
343	0.2125875953
344	0.2125652315
345	0.21252377
346	0.212452212
347	0.212250818
348	0.2121437783
349	0.210840783
350	0.2108288922
351	0.2108000741
352	0.2108000441
353	0.2107999109
354	0.2105091542
355	0.2105090995
356	0.2097559882
357	0.2097546684
358	0.2092114276
359	0.2092114081
360	0.2092113996
361	0.2070742654
362	0.2059482985
363	0.2059475284
364	0.2059314152
365	0.2042210248
366	0.2042001338
367	0.2040649094
368	0.2040648823
369	0.2040288478
370	0.203624514
371	0.2036241233
372	0.2035396969
373	0.2029568023
374	0.2029555654
375	0.2025920094
376	0.2025683949
377	0.2025674232
378	0.2024086293
379	0.2024085413
380	0.2024085406
381	0.2016508995
382	0.2016502185
383	0.2016369305
384	0.2002487739
385	0.1994193834
386	0.1994193832
387	0.1981998584
388	0.1966097845
389	0.1966018254
390	0.1959680343
391	0.1959680147
392	0.1959614835
393	0.195961468
394	0.1956004777
395	0.1955707161
396	0.1942616129
397	0.1927082161
398	0.1927080164
399	0.1927079803
400	0.1918791242
401	0.191090234
402	0.1901387884
403	0.1895849767
404	0.1894844262
405	0.1893759969
406	0.1893759954
407	0.1893759923
408	0.188404227
409	0.1881887214
410	0.1878807835
411	0.1870503192
412	0.1864946291
413	0.1859999875
414	0.185999987
415	0.1858692531
416	0.1857343584
417	0.1857343541
418	0.18564584
419	0.1856458369
420	0.1848752354
421	0.1845726816
422	0.1845386433
423	0.1843320564
424	0.1843320544
425	0.1843320501
426	0.1837912298
427	0.1836010432
428	0.1831643064
429	0.1817430679
430	0.1817430648
431	0.1814785888
432	0.1813640739
433	0.1805256238
434	0.1799940919
435	0.179849154
436	0.1798491375
437	0.178679616
438	0.1786796061
439	0.1786246551
440	0.1785959953
441	0.1779003863
442	0.1763817188
443	0.175285297
444	0.1752672416
445	0.1735491183
446	0.1725649364
447	0.1719999427
448	0.1716893077
449	0.1716892859
450	0.1698094925
451	0.1698094826
452	0.1697411717
453	0.1689776273
454	0.1688333457
455	0.1675726068
456	0.1675624808
457	0.1673520691
458	0.1667100029
459	0.1659698319
460	0.165969198
461	0.1659604349
462	0.1646805384
463	0.164680397
464	0.1646803341
465	0.1646694414
466	0.1643595054
467	0.1643594388
468	0.1642761137
469	0.1642760855
470	0.1642760225
471	0.164018037
472	0.1639012343
473	0.1636905627
474	0.1635931132
475	0.1634978107
476	0.1634249728
477	0.1633622963
478	0.1633622889
479	0.1623656824
480	0.162355592
481	0.1612203159
482	0.1611758395
483	0.1611638123
484	0.1610125398
485	0.1610125257
486	0.1610069755
487	0.160883134
488	0.1608421831
489	0.1604658542
490	0.159577127
491	0.1595721214
492	0.1595682261
