[32m[I 2023-04-26 12:33:01,953][39m A new study created in memory with name: no-name-bf9f34a6-5f1f-4ec4-b4ab-b0948aa7462e
[32m[I 2023-04-26 12:33:01,962][39m Trial 0 finished with value: 0.8181818181818181 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 20, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 0 with value: 0.8181818181818181.
[32m[I 2023-04-26 12:33:02,070][39m Trial 1 finished with value: 0.7747747747747747 and parameters: {'algorithm': 'brute', 'n_neighbors': 18, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 0 with value: 0.8181818181818181.
[32m[I 2023-04-26 12:33:02,076][39m Trial 2 finished with value: 0.7433628318584072 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 27, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 0 with value: 0.8181818181818181.
[32m[I 2023-04-26 12:33:02,087][39m Trial 3 finished with value: 0.8214285714285715 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 13, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 3 with value: 0.8214285714285715.
[32m[I 2023-04-26 12:33:02,095][39m Trial 4 finished with value: 0.780952380952381 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 21, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 3 with value: 0.8214285714285715.
[32m[I 2023-04-26 12:33:02,105][39m Trial 5 finished with value: 0.822429906542056 and parameters: {'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 5 with value: 0.822429906542056.
[32m[I 2023-04-26 12:33:02,128][39m Trial 6 finished with value: 0.8288288288288289 and parameters: {'algorithm': 'brute', 'n_neighbors': 17, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 6 with value: 0.8288288288288289.
[32m[I 2023-04-26 12:33:02,135][39m Trial 7 finished with value: 0.8181818181818181 and parameters: {'algorithm': 'auto', 'n_neighbors': 20, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 6 with value: 0.8288288288288289.
[32m[I 2023-04-26 12:33:02,155][39m Trial 8 finished with value: 0.8214285714285715 and parameters: {'algorithm': 'brute', 'n_neighbors': 1, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 6 with value: 0.8288288288288289.
[32m[I 2023-04-26 12:33:02,161][39m Trial 9 finished with value: 0.8181818181818181 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 14, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 6 with value: 0.8288288288288289.
[32m[I 2023-04-26 12:33:02,193][39m Trial 10 finished with value: 0.8288288288288289 and parameters: {'algorithm': 'brute', 'n_neighbors': 30, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 6 with value: 0.8288288288288289.
[32m[I 2023-04-26 12:33:02,222][39m Trial 11 finished with value: 0.8288288288288289 and parameters: {'algorithm': 'brute', 'n_neighbors': 28, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 6 with value: 0.8288288288288289.
[32m[I 2023-04-26 12:33:02,254][39m Trial 12 finished with value: 0.8545454545454546 and parameters: {'algorithm': 'brute', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 12 with value: 0.8545454545454546.
[32m[I 2023-04-26 12:33:02,282][39m Trial 13 finished with value: 0.8545454545454546 and parameters: {'algorithm': 'brute', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 12 with value: 0.8545454545454546.
[32m[I 2023-04-26 12:33:02,310][39m Trial 14 finished with value: 0.831858407079646 and parameters: {'algorithm': 'brute', 'n_neighbors': 4, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 12 with value: 0.8545454545454546.
[32m[I 2023-04-26 12:33:02,336][39m Trial 15 finished with value: 0.8148148148148148 and parameters: {'algorithm': 'brute', 'n_neighbors': 7, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 12 with value: 0.8545454545454546.
[32m[I 2023-04-26 12:33:02,362][39m Trial 16 finished with value: 0.8468468468468469 and parameters: {'algorithm': 'brute', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 12 with value: 0.8545454545454546.
[32m[I 2023-04-26 12:33:02,373][39m Trial 17 finished with value: 0.8141592920353982 and parameters: {'algorithm': 'auto', 'n_neighbors': 1, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 12 with value: 0.8545454545454546.
[32m[I 2023-04-26 12:33:02,383][39m Trial 18 finished with value: 0.8545454545454546 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 12 with value: 0.8545454545454546.
[32m[I 2023-04-26 12:33:02,394][39m Trial 19 finished with value: 0.8288288288288289 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 12 with value: 0.8545454545454546.
[32m[I 2023-04-26 12:33:02,419][39m Trial 20 finished with value: 0.831858407079646 and parameters: {'algorithm': 'brute', 'n_neighbors': 4, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 12 with value: 0.8545454545454546.
[32m[I 2023-04-26 12:33:02,430][39m Trial 21 finished with value: 0.8545454545454546 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 12 with value: 0.8545454545454546.
