[32m[I 2023-04-26 12:57:50,089][39m A new study created in memory with name: no-name-69a03bd1-1b19-4ec0-a68e-32ff44efb162
[32m[I 2023-04-26 12:57:50,096][39m Trial 0 finished with value: 0.6964285714285714 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 16, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 0 with value: 0.6964285714285714.
[32m[I 2023-04-26 12:57:50,117][39m Trial 1 finished with value: 0.6554621848739496 and parameters: {'algorithm': 'brute', 'n_neighbors': 9, 'weights': 'uniform', 'metric': 'minkowski'}. Best is trial 0 with value: 0.6964285714285714.
[32m[I 2023-04-26 12:57:50,125][39m Trial 2 finished with value: 0.5688073394495412 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 18, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 0 with value: 0.6964285714285714.
[32m[I 2023-04-26 12:57:50,143][39m Trial 3 finished with value: 0.6213592233009709 and parameters: {'algorithm': 'brute', 'n_neighbors': 16, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 0 with value: 0.6964285714285714.
[32m[I 2023-04-26 12:57:50,150][39m Trial 4 finished with value: 0.6306306306306305 and parameters: {'algorithm': 'auto', 'n_neighbors': 26, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 0 with value: 0.6964285714285714.
[32m[I 2023-04-26 12:57:50,155][39m Trial 5 finished with value: 0.5818181818181819 and parameters: {'algorithm': 'auto', 'n_neighbors': 29, 'weights': 'uniform', 'metric': 'minkowski'}. Best is trial 0 with value: 0.6964285714285714.
[32m[I 2023-04-26 12:57:50,172][39m Trial 6 finished with value: 0.6548672566371682 and parameters: {'algorithm': 'brute', 'n_neighbors': 21, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 0 with value: 0.6964285714285714.
[32m[I 2023-04-26 12:57:50,180][39m Trial 7 finished with value: 0.6181818181818182 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 29, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 0 with value: 0.6964285714285714.
[32m[I 2023-04-26 12:57:50,185][39m Trial 8 finished with value: 0.709090909090909 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 16, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 8 with value: 0.709090909090909.
[32m[I 2023-04-26 12:57:50,192][39m Trial 9 finished with value: 0.574074074074074 and parameters: {'algorithm': 'auto', 'n_neighbors': 28, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 8 with value: 0.709090909090909.
[32m[I 2023-04-26 12:57:50,198][39m Trial 10 finished with value: 0.6956521739130435 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 2, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 8 with value: 0.709090909090909.
[32m[I 2023-04-26 12:57:50,205][39m Trial 11 finished with value: 0.7142857142857143 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 9, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 11 with value: 0.7142857142857143.
[32m[I 2023-04-26 12:57:50,217][39m Trial 12 finished with value: 0.7027027027027026 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 11 with value: 0.7142857142857143.
[32m[I 2023-04-26 12:57:50,224][39m Trial 13 finished with value: 0.709090909090909 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 10, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 11 with value: 0.7142857142857143.
[32m[I 2023-04-26 12:57:50,232][39m Trial 14 finished with value: 0.6956521739130435 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 1, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 11 with value: 0.7142857142857143.
[32m[I 2023-04-26 12:57:50,240][39m Trial 15 finished with value: 0.6909090909090909 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 11 with value: 0.7142857142857143.
[32m[I 2023-04-26 12:57:50,249][39m Trial 16 finished with value: 0.7027027027027026 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 23, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 11 with value: 0.7142857142857143.
[32m[I 2023-04-26 12:57:50,256][39m Trial 17 finished with value: 0.6964285714285714 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 11 with value: 0.7142857142857143.
[32m[I 2023-04-26 12:57:50,263][39m Trial 18 finished with value: 0.7027027027027026 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 12, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 11 with value: 0.7142857142857143.
[32m[I 2023-04-26 12:57:50,269][39m Trial 19 finished with value: 0.6964285714285714 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 11 with value: 0.7142857142857143.
[32m[I 2023-04-26 12:57:50,276][39m Trial 20 finished with value: 0.7027027027027026 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 12, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 11 with value: 0.7142857142857143.
[32m[I 2023-04-26 12:57:50,282][39m Trial 21 finished with value: 0.6964285714285714 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 13, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 11 with value: 0.7142857142857143.
[32m[I 2023-04-26 12:57:50,288][39m Trial 22 finished with value: 0.6902654867256638 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 18, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 11 with value: 0.7142857142857143.
[32m[I 2023-04-26 12:57:50,294][39m Trial 23 finished with value: 0.7142857142857143 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 9, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 11 with value: 0.7142857142857143.
[32m[I 2023-04-26 12:57:50,300][39m Trial 24 finished with value: 0.6964285714285714 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 11 with value: 0.7142857142857143.
[32m[I 2023-04-26 12:57:50,308][39m Trial 25 finished with value: 0.7027027027027026 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 11 with value: 0.7142857142857143.
[32m[I 2023-04-26 12:57:50,314][39m Trial 26 finished with value: 0.6902654867256638 and parameters: {'algorithm': 'auto', 'n_neighbors': 4, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 11 with value: 0.7142857142857143.
[32m[I 2023-04-26 12:57:50,347][39m Trial 27 finished with value: 0.709090909090909 and parameters: {'algorithm': 'brute', 'n_neighbors': 10, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 11 with value: 0.7142857142857143.
[32m[I 2023-04-26 12:57:50,358][39m Trial 28 finished with value: 0.7155963302752292 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 14, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:50,370][39m Trial 29 finished with value: 0.7155963302752292 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 14, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
