[32m[I 2023-04-26 13:01:06,031][39m A new study created in memory with name: no-name-ef779f35-aa5f-4ca8-8cd5-80751089e0e7
[32m[I 2023-04-26 13:01:07,270][39m Trial 0 finished with value: 0.7446808510638298 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.05537170284445229, 'depth': 4, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 0.9470033847076509}. Best is trial 0 with value: 0.7446808510638298.
[32m[I 2023-04-26 13:01:08,449][39m Trial 1 finished with value: 0.7070707070707071 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.08287785904964994, 'depth': 1, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 0.1648923281483139}. Best is trial 0 with value: 0.7446808510638298.
[32m[I 2023-04-26 13:01:11,273][39m Trial 2 finished with value: 0.7254901960784315 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08269466197636927, 'depth': 1, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.17169620191127966}. Best is trial 0 with value: 0.7446808510638298.
[32m[I 2023-04-26 13:01:12,326][39m Trial 3 finished with value: 0.7017543859649124 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.0184178714326609, 'depth': 4, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8553434557802794}. Best is trial 0 with value: 0.7446808510638298.
[32m[I 2023-04-26 13:01:14,890][39m Trial 4 finished with value: 0.7027027027027027 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.012552160303947929, 'depth': 12, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.14346681349647328}. Best is trial 0 with value: 0.7446808510638298.
[32m[I 2023-04-26 13:01:18,167][39m Trial 5 finished with value: 0.7446808510638298 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08167775584768014, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS'}. Best is trial 0 with value: 0.7446808510638298.
[32m[I 2023-04-26 13:01:19,249][39m Trial 6 finished with value: 0.6956521739130435 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.01403437403797832, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.23709221333455796}. Best is trial 0 with value: 0.7446808510638298.
[32m[I 2023-04-26 13:01:22,119][39m Trial 7 finished with value: 0.7446808510638298 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.048247567859259745, 'depth': 10, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS'}. Best is trial 0 with value: 0.7446808510638298.
[32m[I 2023-04-26 13:01:25,420][39m Trial 8 finished with value: 0.7216494845360826 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.07235987564698221, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 1.792380208947859}. Best is trial 0 with value: 0.7446808510638298.
[32m[I 2023-04-26 13:01:30,042][39m Trial 9 finished with value: 0.7346938775510203 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08953378642037818, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS'}. Best is trial 0 with value: 0.7446808510638298.
[32m[I 2023-04-26 13:01:31,292][39m Trial 10 finished with value: 0.7200000000000001 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.04721172373837981, 'depth': 4, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.026082956020272}. Best is trial 0 with value: 0.7446808510638298.
[32m[I 2023-04-26 13:01:32,848][39m Trial 11 finished with value: 0.7291666666666666 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.06454821880713188, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 0 with value: 0.7446808510638298.
[32m[I 2023-04-26 13:01:36,179][39m Trial 12 finished with value: 0.7115384615384616 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.03557291463337681, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 3.9992530961183608}. Best is trial 0 with value: 0.7446808510638298.
[32m[I 2023-04-26 13:01:37,587][39m Trial 13 finished with value: 0.717391304347826 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06409663508117502, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 0 with value: 0.7446808510638298.
[32m[I 2023-04-26 13:01:39,215][39m Trial 14 finished with value: 0.7096774193548387 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09726396709394726, 'depth': 3, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 0 with value: 0.7446808510638298.
[32m[I 2023-04-26 13:01:42,413][39m Trial 15 finished with value: 0.6909090909090908 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.030998179574957433, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.8345089162221635}. Best is trial 0 with value: 0.7446808510638298.
[32m[I 2023-04-26 13:01:46,533][39m Trial 16 finished with value: 0.6999999999999998 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0591088740884021, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 3.190677791856799}. Best is trial 0 with value: 0.7446808510638298.
[32m[I 2023-04-26 13:01:47,957][39m Trial 17 finished with value: 0.7096774193548387 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.048776506949003186, 'depth': 10, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 0 with value: 0.7446808510638298.
[32m[I 2023-04-26 13:01:51,200][39m Trial 18 finished with value: 0.7070707070707071 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.038090964396190176, 'depth': 3, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS'}. Best is trial 0 with value: 0.7446808510638298.
[32m[I 2023-04-26 13:01:52,641][39m Trial 19 finished with value: 0.7659574468085106 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.049098085116100594, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.067883009750677}. Best is trial 19 with value: 0.7659574468085106.
[32m[I 2023-04-26 13:01:56,134][39m Trial 20 finished with value: 0.7216494845360826 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.04475511266961641, 'depth': 12, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS'}. Best is trial 19 with value: 0.7659574468085106.
[32m[I 2023-04-26 13:01:57,712][39m Trial 21 finished with value: 0.7311827956989247 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0715788160175216, 'depth': 10, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.035989050888363}. Best is trial 19 with value: 0.7659574468085106.
[32m[I 2023-04-26 13:01:59,097][39m Trial 22 finished with value: 0.7499999999999999 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.05448660402445102, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.65541365317757}. Best is trial 19 with value: 0.7659574468085106.
[32m[I 2023-04-26 13:02:00,389][39m Trial 23 finished with value: 0.7422680412371134 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.028611356100467337, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.802582928667594}. Best is trial 19 with value: 0.7659574468085106.
[32m[I 2023-04-26 13:02:01,842][39m Trial 24 finished with value: 0.7422680412371134 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.05648959311680021, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.91792288750364}. Best is trial 19 with value: 0.7659574468085106.
[32m[I 2023-04-26 13:02:03,208][39m Trial 25 finished with value: 0.7526881720430108 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.05472566175758101, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.520858150652814}. Best is trial 19 with value: 0.7659574468085106.
[32m[I 2023-04-26 13:02:04,461][39m Trial 26 finished with value: 0.7252747252747254 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.03926771514783822, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.344101031529519}. Best is trial 19 with value: 0.7659574468085106.
[32m[I 2023-04-26 13:02:06,102][39m Trial 27 finished with value: 0.7526881720430108 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06773819767167419, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.045849575731239}. Best is trial 19 with value: 0.7659574468085106.
[32m[I 2023-04-26 13:02:07,695][39m Trial 28 finished with value: 0.7789473684210526 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07024865792267324, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.446455057283016}. Best is trial 28 with value: 0.7789473684210526.
