[32m[I 2023-04-26 14:57:22,750][39m A new study created in memory with name: no-name-9713fe35-d96b-4e40-9ba5-6cc658ad338f
[32m[I 2023-04-26 14:57:22,866][39m Trial 0 finished with value: 0.6605504587155964 and parameters: {'criterion': 'gini', 'n_estimators': 168, 'max_features': 0.5510190385257874, 'max_depth': 1, 'min_samples_split': 7, 'min_samples_leaf': 3}. Best is trial 0 with value: 0.6605504587155964.
[32m[I 2023-04-26 14:57:23,045][39m Trial 1 finished with value: 0.8222222222222222 and parameters: {'criterion': 'entropy', 'n_estimators': 184, 'max_features': 0.8637100897496816, 'max_depth': 33, 'min_samples_split': 5, 'min_samples_leaf': 4}. Best is trial 1 with value: 0.8222222222222222.
[32m[I 2023-04-26 14:57:23,175][39m Trial 2 finished with value: 0.7356321839080461 and parameters: {'criterion': 'gini', 'n_estimators': 158, 'max_features': 0.9062960067468304, 'max_depth': 74, 'min_samples_split': 7, 'min_samples_leaf': 11}. Best is trial 1 with value: 0.8222222222222222.
[32m[I 2023-04-26 14:57:23,305][39m Trial 3 finished with value: 0.761904761904762 and parameters: {'criterion': 'gini', 'n_estimators': 197, 'max_features': 0.000584010226768239, 'max_depth': 63, 'min_samples_split': 8, 'min_samples_leaf': 6}. Best is trial 1 with value: 0.8222222222222222.
[32m[I 2023-04-26 14:57:23,405][39m Trial 4 finished with value: 0.7441860465116279 and parameters: {'criterion': 'entropy', 'n_estimators': 151, 'max_features': 0.12839604171689656, 'max_depth': 41, 'min_samples_split': 3, 'min_samples_leaf': 11}. Best is trial 1 with value: 0.8222222222222222.
[32m[I 2023-04-26 14:57:23,483][39m Trial 5 finished with value: 0.8192771084337348 and parameters: {'criterion': 'gini', 'n_estimators': 88, 'max_features': 0.790837325656556, 'max_depth': 8, 'min_samples_split': 2, 'min_samples_leaf': 1}. Best is trial 1 with value: 0.8222222222222222.
[32m[I 2023-04-26 14:57:23,524][39m Trial 6 finished with value: 0.7529411764705882 and parameters: {'criterion': 'gini', 'n_estimators': 51, 'max_features': 0.36579849971237355, 'max_depth': 31, 'min_samples_split': 7, 'min_samples_leaf': 9}. Best is trial 1 with value: 0.8222222222222222.
[32m[I 2023-04-26 14:57:23,684][39m Trial 7 finished with value: 0.7764705882352942 and parameters: {'criterion': 'gini', 'n_estimators': 195, 'max_features': 0.8368597996026191, 'max_depth': 101, 'min_samples_split': 5, 'min_samples_leaf': 6}. Best is trial 1 with value: 0.8222222222222222.
[32m[I 2023-04-26 14:57:23,791][39m Trial 8 finished with value: 0.7586206896551724 and parameters: {'criterion': 'gini', 'n_estimators': 128, 'max_features': 0.8679693687163028, 'max_depth': 83, 'min_samples_split': 5, 'min_samples_leaf': 11}. Best is trial 1 with value: 0.8222222222222222.
[32m[I 2023-04-26 14:57:23,887][39m Trial 9 finished with value: 0.7500000000000001 and parameters: {'criterion': 'gini', 'n_estimators': 123, 'max_features': 0.6345728946795529, 'max_depth': 13, 'min_samples_split': 4, 'min_samples_leaf': 8}. Best is trial 1 with value: 0.8222222222222222.
[32m[I 2023-04-26 14:57:23,981][39m Trial 10 finished with value: 0.8192771084337348 and parameters: {'criterion': 'entropy', 'n_estimators': 107, 'max_features': 0.3876247002762012, 'max_depth': 30, 'min_samples_split': 11, 'min_samples_leaf': 4}. Best is trial 1 with value: 0.8222222222222222.
