iter	CrossEntropy
0	0.6799993005
1	0.6662526346
2	0.6639411934
3	0.6485732031
4	0.6457083203
5	0.6438387346
6	0.6420813207
7	0.632315742
8	0.6307617345
9	0.6291891338
10	0.6278163894
11	0.6142316998
12	0.6131041127
13	0.6062337172
14	0.6039447239
15	0.6030276659
16	0.5926329146
17	0.5841885014
18	0.5834251135
19	0.5827075134
20	0.5794832095
21	0.5741298984
22	0.5735657293
23	0.5718057231
24	0.5713107054
25	0.5701520134
26	0.5621935698
27	0.5617791162
28	0.5613895115
29	0.557984441
30	0.5576465053
31	0.5573287718
32	0.5552405662
33	0.5397079002
34	0.5291371611
35	0.5250792101
36	0.524886436
37	0.524705161
38	0.516306886
39	0.5146100327
40	0.5078183232
41	0.5076958008
42	0.5061885517
43	0.506083108
44	0.5043329014
45	0.5042414022
46	0.5041553472
47	0.4938107648
48	0.4925606458
49	0.4917427471
50	0.4916904044
51	0.4909534987
52	0.4909078609
53	0.4858958963
54	0.4797637265
55	0.4797091638
56	0.4720001802
57	0.4719768594
58	0.4660760505
59	0.4660605196
60	0.4618471376
61	0.4585055087
62	0.458492812
63	0.4584808676
64	0.4542845372
65	0.4493953333
66	0.4493887649
67	0.4450506541
68	0.4333022525
69	0.4332992269
70	0.4332963803
71	0.4332937022
72	0.4332911863
73	0.4332888196
74	0.4227542688
75	0.4204114637
76	0.4170048722
77	0.4170036906
78	0.4170025788
79	0.4147815664
80	0.4102485008
81	0.4065721661
82	0.4065714807
83	0.4065708357
84	0.4065702289
85	0.4019982715
86	0.4019982697
87	0.4019982688
88	0.4019703208
89	0.3999425564
90	0.3905553138
91	0.3905553003
92	0.3896568071
93	0.3876413739
94	0.3876413722
95	0.3873195772
96	0.3859168743
97	0.3859168541
98	0.3859168267
99	0.3817866596
100	0.3792898759
101	0.3779016449
102	0.3765625704
103	0.3741155225
104	0.3727941791
105	0.3717066165
106	0.3717065106
107	0.3688177945
108	0.3683266727
109	0.3683266641
110	0.3652950293
111	0.3644963678
112	0.3644963638
113	0.3644963562
114	0.3644963301
115	0.3628621086
116	0.3622897677
117	0.3600201565
118	0.3600196888
119	0.357655316
120	0.3572141296
121	0.3562622628
122	0.3562613817
123	0.3562605526
124	0.3562597715
125	0.3559585971
126	0.3553385425
127	0.3553333873
128	0.3549208934
129	0.3519295114
130	0.3506197863
131	0.3506189176
132	0.3451684108
133	0.3446038544
134	0.3446021078
135	0.344600464
136	0.3445989119
137	0.3434227704
138	0.3428874722
139	0.3412665984
140	0.3407306869
141	0.340223509
142	0.3397244067
143	0.3397225879
144	0.3390371401
145	0.339035655
146	0.3386357932
147	0.3386344816
148	0.3386332452
149	0.338632082
150	0.3376471161
151	0.3376457244
152	0.3376444124
153	0.3376431779
154	0.3315156283
155	0.3314471436
156	0.3305474122
157	0.3305459362
158	0.3296173382
159	0.3290701124
160	0.3290685816
161	0.3240192876
162	0.3240176416
163	0.3216809245
164	0.3206761894
165	0.3201872978
166	0.3186528525
167	0.3184442071
168	0.3182482035
169	0.3182467882
170	0.3136202155
171	0.3127081145
172	0.3127065123
173	0.3114891349
174	0.3108246527
175	0.3108228528
176	0.3103976277
177	0.3090154738
178	0.3090138324
179	0.3087913206
180	0.3083909413
181	0.3075529615
182	0.307551744
183	0.3072666098
184	0.3064257257
185	0.3061622048
186	0.3061611377
187	0.3061601335
188	0.3057778824
189	0.3039254279
190	0.3039246979
191	0.3025902062
192	0.3021532795
193	0.3015066259
194	0.3015057106
195	0.3001776676
196	0.2989639943
197	0.2974370262
198	0.2969779851
199	0.2964253412
200	0.2959361259
201	0.2936755874
202	0.2936737869
203	0.2936720923
204	0.2936704981
205	0.2932527802
206	0.2932512137
207	0.2932497394
208	0.2923871301
209	0.2923856227
210	0.2916696372
211	0.2912796523
212	0.2907877445
213	0.2900880541
214	0.2891709541
215	0.2875679879
216	0.2867582166
217	0.2867578973
218	0.2867577351
219	0.2867573275
220	0.2862438266
221	0.2860929019
222	0.2858109562
223	0.2858108648
224	0.2841281338
225	0.2841278653
226	0.2841278642
227	0.2836811311
228	0.2834130983
229	0.2820984929
230	0.2820984751
231	0.2817325409
232	0.2812609846
233	0.2812578615
234	0.2812577971
235	0.2808139485
236	0.2808139401
237	0.2808138771
238	0.2805802936
239	0.2805779531
240	0.28057575
241	0.2767616074
242	0.2767608101
243	0.2757623052
244	0.2754410961
245	0.2752309335
246	0.275227317
247	0.2752247436
248	0.2747673518
249	0.2742946104
250	0.2729748797
251	0.2707572709
252	0.2707193485
253	0.2707190068
254	0.2707183483
255	0.2704437478
256	0.2704430489
257	0.270153459
258	0.2687194273
259	0.2687187335
260	0.2687180792
261	0.2687174636
262	0.2678062155
263	0.2653993245
264	0.2653991814
265	0.2653988593
266	0.2635425781
267	0.263331575
268	0.2624800412
269	0.2621847761
270	0.2615895839
271	0.2614321769
272	0.2612735886
273	0.2610990074
274	0.2610986535
275	0.2610983208
276	0.2585602884
277	0.2580154106
278	0.2580153285
279	0.2580152472
280	0.2580151929
281	0.2548784868
282	0.2540551378
283	0.2535466658
284	0.2532126804
285	0.2532122642
286	0.2532116362
287	0.2532110444
288	0.2529567153
289	0.2529561689
290	0.2512908479
291	0.2512380456
292	0.2512380198
293	0.2512380134
294	0.2512375746
295	0.2510029188
296	0.2504088745
297	0.2502922392
298	0.2502921493
299	0.2487154707
300	0.2463682916
301	0.2463677481
302	0.2463676356
303	0.2463675065
304	0.2463674919
305	0.2457986194
306	0.2457983216
307	0.2456774912
308	0.2437795241
309	0.242996566
310	0.242753449
311	0.2416118532
312	0.2414997879
313	0.241499159
314	0.2414152644
315	0.2414152474
316	0.2414146655
317	0.241414118
318	0.241414103
319	0.2414136035
320	0.2411252051
321	0.2411251034
322	0.2411247087
323	0.240881613
324	0.240676975
325	0.2400984442
326	0.240059288
327	0.2397159399
328	0.2397157569
329	0.2397157108
330	0.2387991187
331	0.2385644407
332	0.238564436
333	0.2377378478
334	0.2377377765
335	0.2369569676
336	0.2365226156
337	0.2365225748
338	0.2362737441
339	0.2353803387
340	0.2353803378
341	0.2353803369
342	0.2342447282
343	0.2339564625
344	0.2338845649
345	0.2337085255
346	0.2333837117
347	0.2332428819
348	0.2323608536
349	0.228545568
350	0.2267234612
351	0.2261708779
352	0.2261707251
353	0.2261148976
354	0.2258341311
355	0.2258341163
356	0.2258340738
357	0.2254991321
358	0.2253915446
359	0.2252345347
360	0.2226048873
361	0.2218404722
362	0.2218404397
363	0.2218401737
364	0.2216203504
365	0.2197683193
366	0.219767777
367	0.2189741454
368	0.2173034912
369	0.2163072798
370	0.2163072727
371	0.2163072445
372	0.2162104242
373	0.2162103489
374	0.2156794217
375	0.2156328581
376	0.2152836247
377	0.2152836133
378	0.2152835278
379	0.2152833431
380	0.2133778736
381	0.213204519
382	0.2125449878
383	0.212544874
384	0.2120894674
385	0.2097879029
386	0.2097871588
387	0.2094165779
388	0.2057851297
389	0.2056692314
390	0.2055419811
391	0.2050410236
392	0.2050407351
393	0.2050405257
394	0.2048204804
395	0.2047233939
396	0.204620393
397	0.2044966616
398	0.2044554171
399	0.203532648
400	0.2035325086
401	0.2035325065
402	0.2035324983
403	0.20353249
404	0.2035324895
405	0.2035324885
406	0.203416908
407	0.203416878
408	0.2033425354
409	0.20234232
410	0.202342268
411	0.202342259
412	0.2023422104
413	0.2022577048
414	0.202133606
415	0.2021335448
416	0.201972521
417	0.2019723988
418	0.2018572997
419	0.2016595158
420	0.1996122138
421	0.1996121508
422	0.1996120886
423	0.1996120723
424	0.1996120642
425	0.1990430111
426	0.1990429656
427	0.1990429499
428	0.1989701953
429	0.1989701192
430	0.1987907731
431	0.1987478876
432	0.1978457329
433	0.1975901106
434	0.1959057708
435	0.1946832669
436	0.194261894
437	0.1942618554
438	0.1942618455
439	0.1942618061
440	0.1942039624
441	0.1942039531
442	0.1942038835
443	0.1941301555
444	0.193667935
445	0.1936677843
446	0.1936677799
447	0.1936677754
448	0.1936677754
449	0.1936413659
450	0.1935262531
451	0.1935262074
452	0.1935261206
453	0.1930676619
454	0.1930676614
455	0.1930432666
456	0.193043259
457	0.193001947
458	0.1925690356
459	0.192568954
460	0.1925689395
461	0.19248223
462	0.1924435525
463	0.192443546
464	0.1924435329
465	0.1922971353
466	0.1922970278
467	0.1922970215
468	0.1922970088
469	0.192240162
470	0.1920732941
471	0.1911375659
472	0.1911375468
473	0.190704102
474	0.1907040749
475	0.1902707851
476	0.1888501952
477	0.1870952228
478	0.1870952217
479	0.1869452706
480	0.186529324
481	0.1865293099
482	0.1865293029
483	0.1865292828
484	0.1852791208
485	0.185279111
486	0.1852791086
487	0.1851206467
488	0.1850881415
489	0.1850881332
490	0.1850881318
491	0.1850881297
492	0.1850881276
493	0.1850446048
494	0.1850170283
495	0.1850170073
496	0.1850167314
497	0.1850167116
498	0.1847531208
499	0.1847530966
500	0.1846567657
501	0.1846254651
502	0.184507809
503	0.1845077763
504	0.1845077763
505	0.1844647372
506	0.184245203
507	0.1841712366
508	0.1841712355
509	0.1841491776
510	0.1839246003
511	0.1839245845
512	0.1838559848
513	0.1838559732
514	0.1838558166
515	0.1838558057
516	0.1829894738
517	0.1829894457
518	0.182989438
519	0.1826503992
520	0.1825588722
521	0.1824728751
522	0.1824728731
523	0.1821674064
524	0.1820849968
525	0.1820232084
526	0.1820231953
527	0.1820231899
528	0.1819815006
529	0.1819814936
530	0.1819814803
531	0.1819144001
532	0.181771073
533	0.1817710707
534	0.1817235534
535	0.1811509814
536	0.1811081853
537	0.1804784393
538	0.1803677058
539	0.1803676976
540	0.180367683
541	0.1801982192
542	0.1801742017
543	0.1801741968
544	0.1801741911
545	0.1801310032
546	0.1801309979
547	0.1801309952
548	0.180106015
549	0.1800825121
550	0.1800825101
551	0.1796889836
552	0.179629457
553	0.179629451
554	0.1796294508
555	0.1794345151
556	0.1794345137
557	0.1794345091
558	0.1793867518
559	0.1793867509
560	0.1793867475
561	0.1793311152
562	0.1793311125
563	0.1792526529
564	0.1792526518
565	0.1792526504
566	0.1792526472
567	0.1792172713
568	0.1791885457
569	0.1790462808
570	0.1783802893
571	0.1783214717
572	0.1781917569
573	0.1781917563
574	0.1781917555
575	0.1780628662
576	0.1779990172
577	0.1777717016
578	0.1777717014
579	0.177617572
580	0.1774072199
581	0.1774072198
582	0.1771933644
583	0.1771933627
584	0.176970259
585	0.1769527469
586	0.1769527462
587	0.1769527459
588	0.1762069364
589	0.1762069346
590	0.1762069333
591	0.1762069324
592	0.1762069308
593	0.176090067
594	0.1760504451
595	0.1760504446
596	0.1758391119
597	0.1754948046
598	0.1754745305
599	0.1754745304
600	0.1754371943
601	0.1752036526
602	0.1751607398
603	0.1750598635
604	0.1742702414
605	0.1742468516
606	0.1742468516
607	0.1718830258
608	0.1718610455
609	0.1718371956
610	0.1718371955
611	0.1718371954
612	0.1717473856
613	0.1717268188
614	0.171726818
615	0.1717060288
616	0.1717060274
617	0.1713791398
618	0.1712806923
619	0.1712423248
620	0.1708392063
621	0.170839206
622	0.1701324906
623	0.1692673374
624	0.1690088872
625	0.169008679
626	0.168958263
627	0.1686760698
628	0.1682855231
629	0.1682111534
630	0.168113122
631	0.1681131216
632	0.1678622301
633	0.1678346337
634	0.167756182
635	0.1676695168
636	0.1676695119
637	0.1676695102
638	0.1676695085
639	0.1676695081
640	0.1673952083
641	0.1673704939
642	0.167349765
643	0.1673497645
644	0.1673497643
645	0.1673009974
646	0.1673009943
647	0.1672817167
648	0.167281714
649	0.1672817132
650	0.1672817097
651	0.1669755532
652	0.1669551863
653	0.1667187531
654	0.1667187521
655	0.1667187516
656	0.1653629913
657	0.1651456049
658	0.1651449553
659	0.1651449544
660	0.165042961
661	0.1650429584
662	0.1650429582
663	0.1650429572
664	0.1648887817
665	0.1648644059
666	0.1643403704
667	0.1638543184
668	0.163415115
669	0.163321903
670	0.1632820705
671	0.1626839172
672	0.1626578482
673	0.1624247237
674	0.1624247226
675	0.1623211397
676	0.1606190832
677	0.1603432298
678	0.1602130813
679	0.1602130724
680	0.1601926222
681	0.1601926062
682	0.160192601
683	0.1601926005
684	0.1594950369
685	0.1594950307
686	0.1594942466
687	0.1594475773
688	0.1594475743
689	0.1592879402
690	0.1592648756
691	0.1592219781
692	0.1592034858
693	0.1592034856
694	0.1592034849
695	0.1591263634
696	0.1590162629
697	0.1590162535
698	0.1589722067
699	0.1589397765
700	0.1589220062
701	0.1589220057
702	0.1589079736
703	0.1588684995
704	0.1588506039
705	0.1584811763
706	0.1584675602
707	0.1583869224
708	0.1583869221
709	0.1583869157
710	0.1583486588
711	0.1578853363
712	0.1578745991
713	0.1578745815
714	0.1578377136
715	0.1578377073
716	0.1578377043
717	0.1576048957
718	0.1576048956
719	0.1574502755
720	0.1574395038
721	0.1572347048
722	0.1572347041
723	0.1572347037
724	0.1572347032
725	0.1572347032
726	0.1572347031
727	0.1570957037
728	0.1569849099
729	0.1569849077
730	0.1568384258
731	0.1568219971
732	0.1568219962
733	0.1568219961
734	0.156821996
735	0.1568107429
736	0.1568107417
737	0.1568107415
738	0.1562462595
739	0.1562462595
740	0.1562106071
741	0.1562106071
742	0.1558469311
743	0.1558165316
744	0.1558004676
745	0.1557607305
746	0.1557171944
747	0.1557171939
748	0.1537717731
749	0.1534373868
750	0.1534373868
751	0.1530403741
752	0.1530403729
753	0.1530403728
754	0.1530403727
755	0.1530403727
756	0.1530403715
757	0.153040371
758	0.1529903509
759	0.1529903508
760	0.1529903504
761	0.152260187
762	0.1522601869
763	0.1522601868
764	0.1522513131
765	0.152251313
