iter	Passed	Remaining
0	16	16371
1	32	16292
2	48	16133
3	63	15920
4	79	15727
5	94	15721
6	111	15756
7	131	16254
8	163	18027
9	183	18156
10	201	18082
11	218	17958
12	232	17639
13	237	16698
14	249	16375
15	261	16056
16	265	15335
17	278	15168
18	289	14971
19	301	14786
20	315	14713
21	327	14568
22	339	14410
23	343	13984
24	355	13846
25	366	13746
26	379	13680
27	390	13566
28	402	13480
29	415	13425
30	428	13378
31	440	13316
32	454	13329
33	462	13129
34	473	13065
35	485	12998
36	497	12938
37	509	12904
38	514	12677
39	527	12666
40	539	12614
41	550	12549
42	561	12496
43	573	12469
44	584	12412
45	597	12400
46	610	12384
47	623	12372
48	636	12346
49	647	12305
50	660	12283
51	672	12254
52	683	12215
53	688	12057
54	699	12017
55	713	12025
56	726	12020
57	739	12011
58	752	12008
59	764	11982
60	773	11907
61	785	11878
62	796	11850
63	808	11830
64	813	11702
65	825	11683
66	838	11676
67	850	11656
68	861	11627
69	873	11608
70	886	11596
71	897	11571
72	910	11557
73	922	11542
74	934	11520
75	947	11515
76	960	11508
77	969	11463
78	981	11444
79	994	11434
80	1006	11418
81	1018	11403
82	1030	11384
83	1037	11314
84	1049	11300
85	1062	11288
86	1074	11273
87	1086	11257
88	1097	11230
89	1109	11215
90	1122	11216
91	1135	11208
92	1149	11211
93	1162	11206
94	1176	11208
95	1189	11197
96	1202	11192
97	1216	11196
98	1228	11177
99	1241	11176
100	1263	11242
101	1277	11246
102	1299	11314
103	1313	11313
104	1327	11312
105	1338	11285
106	1351	11277
107	1363	11260
108	1376	11249
109	1389	11242
110	1403	11241
111	1417	11241
112	1429	11223
113	1443	11217
114	1457	11215
115	1472	11218
116	1477	11147
117	1490	11140
118	1504	11139
119	1515	11111
120	1527	11096
121	1540	11088
122	1554	11082
123	1568	11078
124	1581	11073
125	1595	11064
126	1608	11058
127	1621	11048
128	1634	11039
129	1648	11031
130	1662	11027
131	1676	11024
132	1690	11018
133	1707	11033
134	1720	11026
135	1733	11015
136	1747	11008
137	1760	10999
138	1776	11003
139	1789	10992
140	1803	10985
141	1816	10974
142	1828	10955
143	1839	10935
144	1851	10915
145	1864	10905
146	1877	10893
147	1890	10880
148	1902	10863
149	1913	10845
150	1926	10830
151	1941	10829
152	1956	10830
153	1962	10780
154	1974	10764
155	1986	10747
156	1998	10731
157	2010	10714
158	2022	10695
159	2034	10679
160	2046	10665
161	2059	10653
162	2071	10637
163	2084	10626
164	2096	10610
165	2108	10591
166	2119	10572
167	2131	10555
168	2142	10536
169	2154	10520
170	2168	10511
171	2181	10503
172	2195	10495
173	2207	10480
174	2219	10462
175	2231	10446
176	2243	10431
177	2254	10412
178	2266	10397
179	2280	10388
180	2293	10379
181	2306	10366
182	2318	10351
183	2330	10335
184	2341	10317
185	2352	10297
186	2365	10283
187	2377	10267
188	2386	10242
189	2400	10233
190	2412	10219
191	2424	10202
192	2436	10186
193	2448	10172
194	2461	10161
195	2469	10129
196	2479	10105
197	2492	10095
198	2504	10081
199	2516	10065
200	2528	10050
201	2540	10036
202	2552	10022
203	2564	10007
204	2577	9993
205	2588	9978
206	2603	9972
207	2615	9959
208	2625	9938
209	2638	9924
210	2650	9909
211	2668	9919
212	2681	9905
213	2694	9896
214	2707	9884
215	2719	9869
216	2731	9855
217	2743	9841
218	2755	9828
219	2767	9812
220	2778	9794
221	2791	9781
222	2803	9767
223	2816	9757
224	2828	9743
225	2841	9730
226	2852	9714
227	2862	9693
228	2874	9678
229	2886	9662
230	2898	9648
231	2911	9639
232	2923	9624
233	2935	9607
234	2946	9591
235	2958	9578
236	2970	9563
237	2981	9547
238	2993	9532
239	3006	9519
240	3018	9504
241	3031	9494
242	3042	9478
243	3055	9467
244	3066	9449
245	3078	9434
246	3089	9419
247	3101	9403
248	3112	9388
249	3125	9377
250	3138	9364
251	3149	9348
252	3161	9333
253	3172	9318
254	3184	9304
255	3196	9289
256	3208	9275
257	3221	9263
258	3233	9249
259	3244	9234
260	3256	9221
261	3269	9208
262	3280	9192
263	3292	9180
264	3306	9169
265	3318	9157
266	3330	9143
267	3343	9132
268	3355	9118
269	3367	9104
270	3379	9090
271	3391	9076
272	3404	9065
273	3416	9051
274	3428	9037
275	3441	9028
276	3454	9016
277	3465	9000
278	3477	8986
279	3490	8974
280	3502	8961
281	3513	8946
282	3525	8933
283	3538	8922
284	3550	8907
285	3562	8892
286	3569	8867
287	3580	8852
288	3592	8839
289	3604	8825
290	3617	8813
291	3629	8800
292	3642	8790
293	3657	8783
294	3670	8771
295	3682	8757
296	3695	8748
297	3705	8728
298	3713	8707
299	3725	8692
300	3737	8678
301	3750	8668
302	3762	8654
303	3774	8641
304	3786	8628
305	3798	8615
306	3810	8602
307	3823	8589
308	3835	8577
309	3844	8556
310	3855	8542
311	3869	8532
312	3881	8519
313	3893	8505
314	3901	8483
315	3913	8470
316	3925	8456
317	3937	8443
318	3950	8432
319	3962	8419
320	3975	8409
321	3988	8397
322	3998	8380
323	4009	8366
324	4021	8352
325	4034	8341
326	4046	8328
327	4058	8315
328	4073	8307
329	4086	8296
330	4098	8284
331	4110	8270
332	4122	8256
333	4133	8241
334	4145	8228
335	4156	8214
336	4169	8203
337	4183	8193
338	4195	8181
339	4208	8170
340	4220	8156
341	4232	8142
342	4244	8130
343	4255	8115
344	4269	8105
345	4281	8092
346	4286	8065
347	4301	8058
348	4313	8046
349	4325	8032
350	4337	8020
351	4350	8008
352	4362	7995
353	4374	7982
354	4386	7970
355	4399	7959
356	4412	7946
357	4423	7933
358	4435	7920
359	4448	7907
360	4454	7885
361	4466	7871
362	4478	7858
363	4490	7845
364	4504	7835
365	4516	7824
366	4528	7810
367	4540	7797
368	4553	7785
369	4565	7773
370	4578	7762
371	4591	7750
372	4604	7740
373	4617	7728
374	4629	7715
375	4641	7702
376	4653	7689
377	4665	7677
378	4679	7666
379	4692	7655
380	4705	7645
381	4718	7632
382	4730	7620
383	4742	7607
384	4754	7594
385	4767	7582
386	4779	7570
387	4791	7558
388	4803	7545
389	4816	7533
390	4830	7523
391	4842	7511
392	4854	7497
393	4866	7484
394	4877	7470
395	4890	7458
396	4902	7445
397	4914	7434
398	4927	7422
399	4939	7409
400	4951	7396
401	4964	7385
402	4977	7374
403	4991	7363
404	5003	7350
405	5017	7341
406	5031	7331
407	5043	7318
408	5056	7307
409	5068	7293
410	5078	7278
411	5090	7265
412	5103	7253
413	5115	7240
414	5130	7232
415	5145	7223
416	5158	7212
417	5171	7200
418	5184	7189
419	5191	7169
420	5203	7156
421	5216	7145
422	5230	7134
423	5242	7121
424	5254	7109
425	5265	7095
426	5279	7085
427	5285	7063
428	5296	7049
429	5308	7036
430	5321	7025
431	5334	7013
432	5347	7001
433	5359	6989
434	5372	6978
435	5378	6958
436	5390	6944
437	5402	6931
438	5413	6918
439	5425	6904
440	5438	6893
441	5449	6879
442	5461	6866
443	5473	6853
444	5484	6840
445	5496	6827
446	5509	6815
447	5518	6799
448	5529	6785
449	5542	6774
450	5551	6757
451	5562	6744
452	5574	6731
453	5586	6719
454	5598	6706
455	5609	6691
456	5614	6670
457	5627	6659
458	5641	6649
459	5653	6636
460	5664	6623
461	5678	6612
462	5691	6600
463	5703	6588
464	5715	6575
465	5727	6562
466	5732	6542
467	5743	6529
468	5756	6517
469	5768	6505
470	5780	6492
471	5792	6479
472	5804	6467
473	5816	6454
474	5828	6441
475	5840	6429
476	5853	6418
477	5865	6405
478	5877	6392
479	5889	6379
480	5900	6366
481	5912	6353
482	5923	6340
483	5935	6328
484	5943	6311
485	5955	6298
486	5969	6288
487	5981	6275
488	5992	6261
489	6004	6249
490	6016	6237
491	6028	6224
492	6040	6211
493	6052	6199
494	6065	6187
495	6077	6175
496	6089	6163
497	6101	6150
498	6113	6137
499	6124	6124
500	6137	6113
501	6149	6100
502	6161	6088
503	6174	6076
504	6186	6064
505	6198	6051
506	6210	6038
507	6222	6026
508	6235	6014
509	6242	5997
510	6254	5985
511	6266	5972
512	6279	5961
513	6290	5947
514	6302	5935
515	6314	5923
516	6326	5910
517	6333	5893
518	6345	5881
519	6357	5868
520	6370	5856
521	6384	5846
522	6405	5842
523	6413	5825
524	6426	5814
525	6438	5801
526	6451	5790
527	6463	5777
528	6475	5765
529	6489	5754
530	6502	5742
531	6513	5730
532	6522	5715
533	6531	5700
534	6544	5688
535	6556	5675
536	6568	5663
537	6580	5650
538	6592	5638
539	6605	5626
540	6617	5614
541	6629	5602
542	6641	5589
543	6653	5577
544	6667	5566
545	6670	5546
546	6682	5534
547	6695	5522
548	6707	5509
549	6718	5496
550	6730	5484
551	6741	5471
552	6752	5458
553	6764	5445
554	6777	5433
555	6789	5421
556	6802	5410
557	6815	5398
558	6827	5386
