
[32m[I 2023-04-20 22:24:25,480][39m A new study created in memory with name: no-name-5fe4af86-be26-4366-9016-fe35430f0333
[32m[I 2023-04-20 22:24:29,051][39m Trial 0 finished with value: 0.8421052631578947 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09785614115120486, 'depth': 12, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9239338907427836}. Best is trial 0 with value: 0.8421052631578947.
[32m[I 2023-04-20 22:24:32,074][39m Trial 1 finished with value: 0.8596491228070176 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.05121599052117986, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.1845186183338745}. Best is trial 1 with value: 0.8596491228070176.
[32m[I 2023-04-20 22:24:34,896][39m Trial 2 finished with value: 0.8166666666666667 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.01660070946422838, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 1.3693997104416056}. Best is trial 1 with value: 0.8596491228070176.
[32m[I 2023-04-20 22:24:37,874][39m Trial 3 finished with value: 0.8333333333333334 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.02331871647249944, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.6987246525396333}. Best is trial 1 with value: 0.8596491228070176.
[32m[I 2023-04-20 22:24:38,423][39m Trial 4 finished with value: 0.8347826086956522 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.04918638411850851, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 0.49429705451448647}. Best is trial 1 with value: 0.8596491228070176.
[32m[I 2023-04-20 22:24:39,045][39m Trial 5 finished with value: 0.8648648648648648 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08172846142065869, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.992926538186071}. Best is trial 5 with value: 0.8648648648648648.
[32m[I 2023-04-20 22:24:39,604][39m Trial 6 finished with value: 0.8403361344537814 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.029378820435357986, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 5 with value: 0.8648648648648648.
[32m[I 2023-04-20 22:24:43,311][39m Trial 7 finished with value: 0.8421052631578947 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09891609660875957, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 3.1711914409027475}. Best is trial 5 with value: 0.8648648648648648.
[32m[I 2023-04-20 22:24:43,850][39m Trial 8 finished with value: 0.8034188034188032 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.01702358450645989, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.7632384696218839}. Best is trial 5 with value: 0.8648648648648648.
[32m[I 2023-04-20 22:24:46,708][39m Trial 9 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08826418070238004, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS'}. Best is trial 5 with value: 0.8648648648648648.
[32m[I 2023-04-20 22:24:47,816][39m Trial 10 finished with value: 0.8205128205128206 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0733240182257354, 'depth': 3, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.375114826006595}. Best is trial 5 with value: 0.8648648648648648.
