[32m[I 2023-04-20 22:40:51,012][39m A new study created in memory with name: no-name-b280dc0f-abca-433f-9545-7124f84e8bda
[32m[I 2023-04-20 22:40:51,510][39m Trial 0 finished with value: 0.8275862068965518 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.05329857866215044, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.206695141256392}. Best is trial 0 with value: 0.8275862068965518.
[32m[I 2023-04-20 22:40:51,985][39m Trial 1 finished with value: 0.7865168539325843 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.031993742567063936, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 0 with value: 0.8275862068965518.
[32m[I 2023-04-20 22:40:54,391][39m Trial 2 finished with value: 0.7674418604651163 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.015269892720992335, 'depth': 12, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.0177894177412}. Best is trial 0 with value: 0.8275862068965518.
[32m[I 2023-04-20 22:40:57,134][39m Trial 3 finished with value: 0.8314606741573034 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.06957718504230812, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 2.6800890840816747}. Best is trial 3 with value: 0.8314606741573034.
[32m[I 2023-04-20 22:40:57,760][39m Trial 4 finished with value: 0.8139534883720929 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09803597996631717, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 3 with value: 0.8314606741573034.
[32m[I 2023-04-20 22:41:00,644][39m Trial 5 finished with value: 0.8275862068965518 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08143077398662882, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 4.548736450926336}. Best is trial 3 with value: 0.8314606741573034.
[32m[I 2023-04-20 22:41:03,534][39m Trial 6 finished with value: 0.8 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.03789893053532876, 'depth': 4, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS'}. Best is trial 3 with value: 0.8314606741573034.
[32m[I 2023-04-20 22:41:04,063][39m Trial 7 finished with value: 0.7252747252747254 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.02028393849558132, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.43779044275806966}. Best is trial 3 with value: 0.8314606741573034.
[32m[I 2023-04-20 22:41:04,550][39m Trial 8 finished with value: 0.7674418604651163 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.01688865828394267, 'depth': 1, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.11295175798828495}. Best is trial 3 with value: 0.8314606741573034.
[32m[I 2023-04-20 22:41:05,162][39m Trial 9 finished with value: 0.8139534883720929 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.0978207173824467, 'depth': 3, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 3 with value: 0.8314606741573034.
[32m[I 2023-04-20 22:41:08,309][39m Trial 10 finished with value: 0.8351648351648352 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.0720205107054523, 'depth': 10, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 0.795199544927645}. Best is trial 10 with value: 0.8351648351648352.
