2023-04-23 21:52:48,625 INFO    MainThread:20512 [wandb_setup.py:_flush():76] Configure stats pid to 20512
2023-04-23 21:52:48,626 INFO    MainThread:20512 [wandb_setup.py:_flush():76] Loading settings from C:\Users\dimaz\.config\wandb\settings
2023-04-23 21:52:48,626 INFO    MainThread:20512 [wandb_setup.py:_flush():76] Loading settings from d:\‘“Ë¿ƒ\vkr_gh\Drop_wall_impact\notebooks\wandb\settings
2023-04-23 21:52:48,626 INFO    MainThread:20512 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-23 21:52:48,626 INFO    MainThread:20512 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-04-23 21:52:48,626 INFO    MainThread:20512 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-04-23 21:52:48,626 INFO    MainThread:20512 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-04-23 21:52:48,627 INFO    MainThread:20512 [wandb_init.py:_log_setup():507] Logging user logs to d:\‘“Ë¿ƒ\vkr_gh\Drop_wall_impact\notebooks\wandb\run-20230423_215248-n5yfn5h0\logs\debug.log
2023-04-23 21:52:48,627 INFO    MainThread:20512 [wandb_init.py:_log_setup():508] Logging internal logs to d:\‘“Ë¿ƒ\vkr_gh\Drop_wall_impact\notebooks\wandb\run-20230423_215248-n5yfn5h0\logs\debug-internal.log
2023-04-23 21:52:48,627 INFO    MainThread:20512 [wandb_init.py:init():547] calling init triggers
2023-04-23 21:52:48,627 INFO    MainThread:20512 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-04-23 21:52:48,627 INFO    MainThread:20512 [wandb_init.py:init():571] re-initializing run, found existing run on stack: bj6xwx3p
2023-04-23 21:52:48,629 INFO    MainThread:20512 [wandb_run.py:_finish():1892] finishing run dstech/drop-wall-impact-clfr/bj6xwx3p
2023-04-23 21:52:48,629 INFO    MainThread:20512 [jupyter.py:save_history():445] not saving jupyter history
2023-04-23 21:52:48,629 INFO    MainThread:20512 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-23 21:52:48,629 INFO    MainThread:20512 [wandb_init.py:_jupyter_teardown():435] cleaning up jupyter logic
2023-04-23 21:52:48,629 INFO    MainThread:20512 [wandb_run.py:_atexit_cleanup():2126] got exitcode: 0
2023-04-23 21:52:48,630 INFO    MainThread:20512 [wandb_run.py:_restore():2109] restore
2023-04-23 21:52:48,630 INFO    MainThread:20512 [wandb_run.py:_restore():2115] restore done
2023-04-23 21:53:16,812 INFO    MainThread:20512 [wandb_run.py:_footer_history_summary_info():3476] rendering history
2023-04-23 21:53:16,813 INFO    MainThread:20512 [wandb_run.py:_footer_history_summary_info():3508] rendering summary
2023-04-23 21:53:16,820 INFO    MainThread:20512 [wandb_run.py:_footer_sync_info():3434] logging synced files
2023-04-23 21:53:16,973 INFO    MainThread:20512 [wandb_init.py:init():595] starting backend
2023-04-23 21:53:16,973 INFO    MainThread:20512 [wandb_init.py:init():599] setting up manager
2023-04-23 21:53:16,975 INFO    MainThread:20512 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-04-23 21:53:16,979 INFO    MainThread:20512 [wandb_init.py:init():605] backend started and connected
2023-04-23 21:53:16,985 INFO    MainThread:20512 [wandb_run.py:_label_probe_notebook():1237] probe notebook
2023-04-23 21:53:16,985 INFO    MainThread:20512 [wandb_run.py:_label_probe_notebook():1247] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-04-23 21:53:16,985 INFO    MainThread:20512 [wandb_init.py:init():695] updated telemetry
2023-04-23 21:53:17,046 INFO    MainThread:20512 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-23 21:53:18,376 INFO    MainThread:20512 [wandb_run.py:_on_init():2176] communicating current version
2023-04-23 21:53:18,607 INFO    MainThread:20512 [wandb_run.py:_on_init():2185] got version response 
2023-04-23 21:53:18,607 INFO    MainThread:20512 [wandb_init.py:init():782] starting run threads in backend
2023-04-23 21:53:18,760 INFO    MainThread:20512 [wandb_run.py:_console_start():2157] atexit reg
2023-04-23 21:53:18,760 INFO    MainThread:20512 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-23 21:53:18,760 INFO    MainThread:20512 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-23 21:53:18,760 INFO    MainThread:20512 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-23 21:53:18,761 INFO    MainThread:20512 [wandb_init.py:init():824] run started, returning control to user process
