
[32m[I 2023-04-25 23:55:11,129][39m A new study created in memory with name: no-name-ead1aa19-a24f-4a69-82d2-4ed2913409ab
[32m[I 2023-04-25 23:55:14,101][39m Trial 0 finished with value: 0.8403361344537814 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.03448143323591197, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.457944101968538}. Best is trial 0 with value: 0.8403361344537814.
[32m[I 2023-04-25 23:55:17,084][39m Trial 1 finished with value: 0.8264462809917354 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.015211082147991016, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9061710775049425}. Best is trial 0 with value: 0.8403361344537814.
[32m[I 2023-04-25 23:55:20,200][39m Trial 2 finished with value: 0.8672566371681416 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09422208466782019, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5048569711586298}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:55:22,699][39m Trial 3 finished with value: 0.8421052631578947 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0896874438492232, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS'}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:55:25,564][39m Trial 4 finished with value: 0.8620689655172413 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.03137774976458969, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.45483589567182703}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:55:26,981][39m Trial 5 finished with value: 0.8448275862068967 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.05251912519987001, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9924201781589396}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:55:28,187][39m Trial 6 finished with value: 0.8547008547008546 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.02523816106218157, 'depth': 4, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.571948283615173}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:55:29,264][39m Trial 7 finished with value: 0.8376068376068375 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.01558968487024686, 'depth': 4, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.6610196143517525}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:55:33,890][39m Trial 8 finished with value: 0.8495575221238938 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08257613697091508, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 2.8902788198741627}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:55:36,819][39m Trial 9 finished with value: 0.8333333333333334 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.017364185968131406, 'depth': 3, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.699268519718331}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:55:38,906][39m Trial 10 finished with value: 0.8245614035087718 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.07249314961132125, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 2 with value: 0.8672566371681416.
