[32m[I 2023-04-26 00:16:11,796][39m A new study created in memory with name: no-name-53941902-3222-4050-af68-8b46f787eaf3
[32m[I 2023-04-26 00:16:11,953][39m Trial 0 finished with value: 0.8545454545454546 and parameters: {'criterion': 'gini', 'n_estimators': 148, 'max_features': 0.7902939941450929, 'max_depth': 61, 'min_samples_split': 10, 'min_samples_leaf': 3}. Best is trial 0 with value: 0.8545454545454546.
[32m[I 2023-04-26 00:16:12,086][39m Trial 1 finished with value: 0.8403361344537814 and parameters: {'criterion': 'gini', 'n_estimators': 165, 'max_features': 0.21358782069615145, 'max_depth': 41, 'min_samples_split': 3, 'min_samples_leaf': 2}. Best is trial 0 with value: 0.8545454545454546.
[32m[I 2023-04-26 00:16:12,230][39m Trial 2 finished with value: 0.8205128205128206 and parameters: {'criterion': 'gini', 'n_estimators': 149, 'max_features': 0.845306919472918, 'max_depth': 46, 'min_samples_split': 9, 'min_samples_leaf': 7}. Best is trial 0 with value: 0.8545454545454546.
[32m[I 2023-04-26 00:16:12,327][39m Trial 3 finished with value: 0.8135593220338982 and parameters: {'criterion': 'gini', 'n_estimators': 107, 'max_features': 0.8633476299630457, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 8}. Best is trial 0 with value: 0.8545454545454546.
[32m[I 2023-04-26 00:16:12,453][39m Trial 4 finished with value: 0.8521739130434783 and parameters: {'criterion': 'entropy', 'n_estimators': 153, 'max_features': 0.21354776543943021, 'max_depth': 36, 'min_samples_split': 3, 'min_samples_leaf': 6}. Best is trial 0 with value: 0.8545454545454546.
[32m[I 2023-04-26 00:16:12,524][39m Trial 5 finished with value: 0.8141592920353982 and parameters: {'criterion': 'gini', 'n_estimators': 79, 'max_features': 0.6418727497890793, 'max_depth': 19, 'min_samples_split': 8, 'min_samples_leaf': 3}. Best is trial 0 with value: 0.8545454545454546.
[32m[I 2023-04-26 00:16:12,569][39m Trial 6 finished with value: 0.847457627118644 and parameters: {'criterion': 'gini', 'n_estimators': 51, 'max_features': 0.6317866711878405, 'max_depth': 33, 'min_samples_split': 8, 'min_samples_leaf': 10}. Best is trial 0 with value: 0.8545454545454546.
[32m[I 2023-04-26 00:16:12,649][39m Trial 7 finished with value: 0.8166666666666667 and parameters: {'criterion': 'gini', 'n_estimators': 94, 'max_features': 0.7061120802754962, 'max_depth': 73, 'min_samples_split': 11, 'min_samples_leaf': 10}. Best is trial 0 with value: 0.8545454545454546.
[32m[I 2023-04-26 00:16:12,762][39m Trial 8 finished with value: 0.8347826086956522 and parameters: {'criterion': 'entropy', 'n_estimators': 134, 'max_features': 0.35146721767507405, 'max_depth': 36, 'min_samples_split': 6, 'min_samples_leaf': 8}. Best is trial 0 with value: 0.8545454545454546.
[32m[I 2023-04-26 00:16:12,903][39m Trial 9 finished with value: 0.8547008547008546 and parameters: {'criterion': 'entropy', 'n_estimators': 185, 'max_features': 0.08324303173268399, 'max_depth': 99, 'min_samples_split': 2, 'min_samples_leaf': 8}. Best is trial 9 with value: 0.8547008547008546.
[32m[I 2023-04-26 00:16:13,068][39m Trial 10 finished with value: 0.8421052631578947 and parameters: {'criterion': 'entropy', 'n_estimators': 199, 'max_features': 0.008888640167226597, 'max_depth': 95, 'min_samples_split': 5, 'min_samples_leaf': 5}. Best is trial 9 with value: 0.8547008547008546.
[32m[I 2023-04-26 00:16:13,236][39m Trial 11 finished with value: 0.8648648648648648 and parameters: {'criterion': 'entropy', 'n_estimators': 184, 'max_features': 0.470684205013967, 'max_depth': 101, 'min_samples_split': 2, 'min_samples_leaf': 4}. Best is trial 11 with value: 0.8648648648648648.
[32m[I 2023-04-26 00:16:13,417][39m Trial 12 finished with value: 0.8571428571428572 and parameters: {'criterion': 'entropy', 'n_estimators': 201, 'max_features': 0.4250164118482045, 'max_depth': 98, 'min_samples_split': 2, 'min_samples_leaf': 5}. Best is trial 11 with value: 0.8648648648648648.
[32m[I 2023-04-26 00:16:13,574][39m Trial 13 finished with value: 0.8521739130434783 and parameters: {'criterion': 'entropy', 'n_estimators': 175, 'max_features': 0.46297668179539003, 'max_depth': 80, 'min_samples_split': 4, 'min_samples_leaf': 4}. Best is trial 11 with value: 0.8648648648648648.
[32m[I 2023-04-26 00:16:13,751][39m Trial 14 finished with value: 0.8070175438596492 and parameters: {'criterion': 'entropy', 'n_estimators': 200, 'max_features': 0.4689953569836408, 'max_depth': 84, 'min_samples_split': 2, 'min_samples_leaf': 1}. Best is trial 11 with value: 0.8648648648648648.
[32m[I 2023-04-26 00:16:13,896][39m Trial 15 finished with value: 0.8571428571428572 and parameters: {'criterion': 'entropy', 'n_estimators': 181, 'max_features': 0.3339740102236498, 'max_depth': 62, 'min_samples_split': 5, 'min_samples_leaf': 5}. Best is trial 11 with value: 0.8648648648648648.
[32m[I 2023-04-26 00:16:14,003][39m Trial 16 finished with value: 0.8421052631578947 and parameters: {'criterion': 'entropy', 'n_estimators': 123, 'max_features': 0.5426233066494588, 'max_depth': 89, 'min_samples_split': 4, 'min_samples_leaf': 5}. Best is trial 11 with value: 0.8648648648648648.
[32m[I 2023-04-26 00:16:14,136][39m Trial 17 finished with value: 0.8648648648648648 and parameters: {'criterion': 'entropy', 'n_estimators': 166, 'max_features': 0.3511796272703226, 'max_depth': 71, 'min_samples_split': 2, 'min_samples_leaf': 3}. Best is trial 11 with value: 0.8648648648648648.
[32m[I 2023-04-26 00:16:14,267][39m Trial 18 finished with value: 0.8448275862068967 and parameters: {'criterion': 'entropy', 'n_estimators': 166, 'max_features': 0.23552273365540502, 'max_depth': 68, 'min_samples_split': 7, 'min_samples_leaf': 1}. Best is trial 11 with value: 0.8648648648648648.
[32m[I 2023-04-26 00:16:14,393][39m Trial 19 finished with value: 0.8648648648648648 and parameters: {'criterion': 'entropy', 'n_estimators': 133, 'max_features': 0.9999563896096406, 'max_depth': 56, 'min_samples_split': 3, 'min_samples_leaf': 3}. Best is trial 11 with value: 0.8648648648648648.
[32m[I 2023-04-26 00:16:14,506][39m Trial 20 finished with value: 0.8347826086956522 and parameters: {'criterion': 'entropy', 'n_estimators': 122, 'max_features': 0.9484928110279024, 'max_depth': 5, 'min_samples_split': 4, 'min_samples_leaf': 2}. Best is trial 11 with value: 0.8648648648648648.
[32m[I 2023-04-26 00:16:14,633][39m Trial 21 finished with value: 0.8440366972477066 and parameters: {'criterion': 'entropy', 'n_estimators': 136, 'max_features': 0.9830824222336058, 'max_depth': 62, 'min_samples_split': 3, 'min_samples_leaf': 3}. Best is trial 11 with value: 0.8648648648648648.
[32m[I 2023-04-26 00:16:14,763][39m Trial 22 finished with value: 0.8571428571428572 and parameters: {'criterion': 'entropy', 'n_estimators': 163, 'max_features': 0.35501231542669404, 'max_depth': 49, 'min_samples_split': 2, 'min_samples_leaf': 4}. Best is trial 11 with value: 0.8648648648648648.
[32m[I 2023-04-26 00:16:14,928][39m Trial 23 finished with value: 0.8521739130434783 and parameters: {'criterion': 'entropy', 'n_estimators': 185, 'max_features': 0.5568277950275919, 'max_depth': 76, 'min_samples_split': 3, 'min_samples_leaf': 2}. Best is trial 11 with value: 0.8648648648648648.
[32m[I 2023-04-26 00:16:15,055][39m Trial 24 finished with value: 0.8468468468468469 and parameters: {'criterion': 'entropy', 'n_estimators': 141, 'max_features': 0.7172388220448106, 'max_depth': 55, 'min_samples_split': 5, 'min_samples_leaf': 4}. Best is trial 11 with value: 0.8648648648648648.
