[32m[I 2023-04-26 00:20:34,868][39m A new study created in memory with name: no-name-0d241302-4e6b-454b-adf2-28a60865f35e
[32m[I 2023-04-26 00:20:34,875][39m Trial 0 finished with value: 0.8440366972477066 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 10, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 0 with value: 0.8440366972477066.
[32m[I 2023-04-26 00:20:34,968][39m Trial 1 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'brute', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:34,976][39m Trial 2 finished with value: 0.8181818181818181 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 28, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:34,994][39m Trial 3 finished with value: 0.8073394495412843 and parameters: {'algorithm': 'brute', 'n_neighbors': 14, 'weights': 'uniform', 'metric': 'minkowski'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:34,999][39m Trial 4 finished with value: 0.8181818181818181 and parameters: {'algorithm': 'auto', 'n_neighbors': 7, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,018][39m Trial 5 finished with value: 0.8288288288288289 and parameters: {'algorithm': 'brute', 'n_neighbors': 17, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,031][39m Trial 6 finished with value: 0.7433628318584072 and parameters: {'algorithm': 'auto', 'n_neighbors': 27, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,040][39m Trial 7 finished with value: 0.8288288288288289 and parameters: {'algorithm': 'auto', 'n_neighbors': 30, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,065][39m Trial 8 finished with value: 0.8181818181818181 and parameters: {'algorithm': 'brute', 'n_neighbors': 21, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,077][39m Trial 9 finished with value: 0.78 and parameters: {'algorithm': 'auto', 'n_neighbors': 20, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,088][39m Trial 10 finished with value: 0.8141592920353982 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 1, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,100][39m Trial 11 finished with value: 0.8468468468468469 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,111][39m Trial 12 finished with value: 0.8275862068965517 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 3, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,123][39m Trial 13 finished with value: 0.8148148148148148 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 7, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,145][39m Trial 14 finished with value: 0.8108108108108107 and parameters: {'algorithm': 'brute', 'n_neighbors': 12, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 1 with value: 0.8571428571428572.
