[32m[I 2023-04-26 02:19:27,729][39m A new study created in memory with name: no-name-f0652613-b681-4c70-b602-9587ee8d47ac
[32m[I 2023-04-26 02:19:27,912][39m Trial 0 finished with value: 0.8045977011494252 and parameters: {'criterion': 'entropy', 'n_estimators': 201, 'max_features': 0.415493628798137, 'max_depth': 47, 'min_samples_split': 6, 'min_samples_leaf': 7}. Best is trial 0 with value: 0.8045977011494252.
[32m[I 2023-04-26 02:19:28,023][39m Trial 1 finished with value: 0.761904761904762 and parameters: {'criterion': 'entropy', 'n_estimators': 153, 'max_features': 0.15032127350215863, 'max_depth': 65, 'min_samples_split': 5, 'min_samples_leaf': 4}. Best is trial 0 with value: 0.8045977011494252.
[32m[I 2023-04-26 02:19:28,230][39m Trial 2 finished with value: 0.7500000000000001 and parameters: {'criterion': 'entropy', 'n_estimators': 183, 'max_features': 0.8379787011738226, 'max_depth': 74, 'min_samples_split': 3, 'min_samples_leaf': 9}. Best is trial 0 with value: 0.8045977011494252.
[32m[I 2023-04-26 02:19:28,306][39m Trial 3 finished with value: 0.7560975609756099 and parameters: {'criterion': 'gini', 'n_estimators': 102, 'max_features': 0.17391822401230383, 'max_depth': 28, 'min_samples_split': 9, 'min_samples_leaf': 4}. Best is trial 0 with value: 0.8045977011494252.
[32m[I 2023-04-26 02:19:28,433][39m Trial 4 finished with value: 0.761904761904762 and parameters: {'criterion': 'gini', 'n_estimators': 165, 'max_features': 0.18714817072163792, 'max_depth': 63, 'min_samples_split': 11, 'min_samples_leaf': 5}. Best is trial 0 with value: 0.8045977011494252.
[32m[I 2023-04-26 02:19:28,595][39m Trial 5 finished with value: 0.7954545454545454 and parameters: {'criterion': 'gini', 'n_estimators': 198, 'max_features': 0.4898313215863428, 'max_depth': 9, 'min_samples_split': 8, 'min_samples_leaf': 7}. Best is trial 0 with value: 0.8045977011494252.
[32m[I 2023-04-26 02:19:28,639][39m Trial 6 finished with value: 0.7654320987654322 and parameters: {'criterion': 'gini', 'n_estimators': 56, 'max_features': 0.1923295735164906, 'max_depth': 53, 'min_samples_split': 11, 'min_samples_leaf': 2}. Best is trial 0 with value: 0.8045977011494252.
[32m[I 2023-04-26 02:19:28,717][39m Trial 7 finished with value: 0.7045454545454545 and parameters: {'criterion': 'entropy', 'n_estimators': 112, 'max_features': 0.024368388971877875, 'max_depth': 83, 'min_samples_split': 3, 'min_samples_leaf': 10}. Best is trial 0 with value: 0.8045977011494252.
[32m[I 2023-04-26 02:19:28,785][39m Trial 8 finished with value: 0.7710843373493976 and parameters: {'criterion': 'gini', 'n_estimators': 97, 'max_features': 0.1514532360550388, 'max_depth': 44, 'min_samples_split': 11, 'min_samples_leaf': 6}. Best is trial 0 with value: 0.8045977011494252.
[32m[I 2023-04-26 02:19:28,893][39m Trial 9 finished with value: 0.7816091954022988 and parameters: {'criterion': 'entropy', 'n_estimators': 96, 'max_features': 0.8477075088935904, 'max_depth': 82, 'min_samples_split': 7, 'min_samples_leaf': 9}. Best is trial 0 with value: 0.8045977011494252.
[32m[I 2023-04-26 02:19:29,058][39m Trial 10 finished with value: 0.810126582278481 and parameters: {'criterion': 'entropy', 'n_estimators': 148, 'max_features': 0.5162732655775991, 'max_depth': 100, 'min_samples_split': 5, 'min_samples_leaf': 1}. Best is trial 10 with value: 0.810126582278481.
[32m[I 2023-04-26 02:19:29,222][39m Trial 11 finished with value: 0.8148148148148149 and parameters: {'criterion': 'entropy', 'n_estimators': 150, 'max_features': 0.5142380409088511, 'max_depth': 100, 'min_samples_split': 5, 'min_samples_leaf': 1}. Best is trial 11 with value: 0.8148148148148149.
[32m[I 2023-04-26 02:19:29,386][39m Trial 12 finished with value: 0.8051948051948052 and parameters: {'criterion': 'entropy', 'n_estimators': 139, 'max_features': 0.664363843937241, 'max_depth': 100, 'min_samples_split': 5, 'min_samples_leaf': 1}. Best is trial 11 with value: 0.8148148148148149.
[32m[I 2023-04-26 02:19:29,540][39m Trial 13 finished with value: 0.8500000000000001 and parameters: {'criterion': 'entropy', 'n_estimators': 131, 'max_features': 0.6606030958728074, 'max_depth': 100, 'min_samples_split': 2, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.8500000000000001.
[32m[I 2023-04-26 02:19:29,684][39m Trial 14 finished with value: 0.8292682926829268 and parameters: {'criterion': 'entropy', 'n_estimators': 125, 'max_features': 0.6654384316343076, 'max_depth': 92, 'min_samples_split': 2, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.8500000000000001.
[32m[I 2023-04-26 02:19:29,836][39m Trial 15 finished with value: 0.8148148148148149 and parameters: {'criterion': 'entropy', 'n_estimators': 125, 'max_features': 0.7038056778425119, 'max_depth': 89, 'min_samples_split': 2, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.8500000000000001.
[32m[I 2023-04-26 02:19:29,952][39m Trial 16 finished with value: 0.8372093023255814 and parameters: {'criterion': 'entropy', 'n_estimators': 81, 'max_features': 0.9852717385325902, 'max_depth': 88, 'min_samples_split': 2, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.8500000000000001.
[32m[I 2023-04-26 02:19:30,056][39m Trial 17 finished with value: 0.8333333333333333 and parameters: {'criterion': 'entropy', 'n_estimators': 72, 'max_features': 0.9940745039580121, 'max_depth': 72, 'min_samples_split': 3, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.8500000000000001.
[32m[I 2023-04-26 02:19:30,161][39m Trial 18 finished with value: 0.8181818181818182 and parameters: {'criterion': 'entropy', 'n_estimators': 76, 'max_features': 0.9765276575792491, 'max_depth': 27, 'min_samples_split': 4, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.8500000000000001.
[32m[I 2023-04-26 02:19:30,237][39m Trial 19 finished with value: 0.8571428571428572 and parameters: {'criterion': 'entropy', 'n_estimators': 50, 'max_features': 0.8562208135872043, 'max_depth': 79, 'min_samples_split': 2, 'min_samples_leaf': 2}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:30,453][39m Trial 20 finished with value: 0.8433734939759037 and parameters: {'criterion': 'entropy', 'n_estimators': 167, 'max_features': 0.806174150809654, 'max_depth': 76, 'min_samples_split': 4, 'min_samples_leaf': 2}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:30,673][39m Trial 21 finished with value: 0.8 and parameters: {'criterion': 'entropy', 'n_estimators': 173, 'max_features': 0.809720268350534, 'max_depth': 74, 'min_samples_split': 4, 'min_samples_leaf': 2}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:30,843][39m Trial 22 finished with value: 0.7848101265822786 and parameters: {'criterion': 'entropy', 'n_estimators': 137, 'max_features': 0.730198533637987, 'max_depth': 60, 'min_samples_split': 3, 'min_samples_leaf': 2}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:31,023][39m Trial 23 finished with value: 0.8372093023255814 and parameters: {'criterion': 'entropy', 'n_estimators': 168, 'max_features': 0.6053296742383283, 'max_depth': 80, 'min_samples_split': 2, 'min_samples_leaf': 4}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:31,099][39m Trial 24 finished with value: 0.7466666666666667 and parameters: {'criterion': 'entropy', 'n_estimators': 55, 'max_features': 0.789100165808283, 'max_depth': 91, 'min_samples_split': 4, 'min_samples_leaf': 2}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:31,261][39m Trial 25 finished with value: 0.7948717948717948 and parameters: {'criterion': 'entropy', 'n_estimators': 113, 'max_features': 0.8939157352702554, 'max_depth': 38, 'min_samples_split': 3, 'min_samples_leaf': 1}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:31,387][39m Trial 26 finished with value: 0.8275862068965518 and parameters: {'criterion': 'gini', 'n_estimators': 133, 'max_features': 0.6091337799752145, 'max_depth': 69, 'min_samples_split': 2, 'min_samples_leaf': 5}. Best is trial 19 with value: 0.8571428571428572.
