[32m[I 2023-04-26 02:21:20,141][39m A new study created in memory with name: no-name-f9813905-ffb0-43ff-88e3-5cfeede0991c
[32m[I 2023-04-26 02:21:20,175][39m Trial 0 finished with value: 0.5714285714285714 and parameters: {'algorithm': 'brute', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 0 with value: 0.5714285714285714.
[32m[I 2023-04-26 02:21:20,183][39m Trial 1 finished with value: 0.6122448979591836 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 14, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.6122448979591836.
[32m[I 2023-04-26 02:21:20,191][39m Trial 2 finished with value: 0.5961538461538461 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 30, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 1 with value: 0.6122448979591836.
[32m[I 2023-04-26 02:21:20,201][39m Trial 3 finished with value: 0.5299145299145299 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 23, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 1 with value: 0.6122448979591836.
[32m[I 2023-04-26 02:21:20,211][39m Trial 4 finished with value: 0.5977011494252873 and parameters: {'algorithm': 'auto', 'n_neighbors': 1, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 1 with value: 0.6122448979591836.
[32m[I 2023-04-26 02:21:20,218][39m Trial 5 finished with value: 0.5934065934065934 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 3, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 1 with value: 0.6122448979591836.
[32m[I 2023-04-26 02:21:20,243][39m Trial 6 finished with value: 0.6213592233009708 and parameters: {'algorithm': 'brute', 'n_neighbors': 23, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 6 with value: 0.6213592233009708.
[32m[I 2023-04-26 02:21:20,254][39m Trial 7 finished with value: 0.5391304347826087 and parameters: {'algorithm': 'auto', 'n_neighbors': 29, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 6 with value: 0.6213592233009708.
[32m[I 2023-04-26 02:21:20,279][39m Trial 8 finished with value: 0.6213592233009708 and parameters: {'algorithm': 'brute', 'n_neighbors': 22, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 6 with value: 0.6213592233009708.
[32m[I 2023-04-26 02:21:20,292][39m Trial 9 finished with value: 0.5210084033613446 and parameters: {'algorithm': 'auto', 'n_neighbors': 27, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 6 with value: 0.6213592233009708.
[32m[I 2023-04-26 02:21:20,322][39m Trial 10 finished with value: 0.6122448979591836 and parameters: {'algorithm': 'brute', 'n_neighbors': 14, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 6 with value: 0.6213592233009708.
[32m[I 2023-04-26 02:21:20,349][39m Trial 11 finished with value: 0.6138613861386139 and parameters: {'algorithm': 'brute', 'n_neighbors': 21, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 6 with value: 0.6213592233009708.
[32m[I 2023-04-26 02:21:20,375][39m Trial 12 finished with value: 0.6138613861386139 and parameters: {'algorithm': 'brute', 'n_neighbors': 20, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 6 with value: 0.6213592233009708.
[32m[I 2023-04-26 02:21:20,401][39m Trial 13 finished with value: 0.6138613861386139 and parameters: {'algorithm': 'brute', 'n_neighbors': 18, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 6 with value: 0.6213592233009708.
[32m[I 2023-04-26 02:21:20,413][39m Trial 14 finished with value: 0.627450980392157 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 25, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 14 with value: 0.627450980392157.
[32m[I 2023-04-26 02:21:20,425][39m Trial 15 finished with value: 0.627450980392157 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 25, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 14 with value: 0.627450980392157.
[32m[I 2023-04-26 02:21:20,436][39m Trial 16 finished with value: 0.6666666666666666 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 10, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 16 with value: 0.6666666666666666.
[32m[I 2023-04-26 02:21:20,447][39m Trial 17 finished with value: 0.6666666666666666 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 10, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 16 with value: 0.6666666666666666.
