
[32m[I 2023-04-26 11:17:56,856][39m A new study created in memory with name: no-name-c189fd78-79d3-47ca-b236-8b3df6b7ce2a
[32m[I 2023-04-26 11:17:59,200][39m Trial 0 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0901724760520359, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.541334182421776}. Best is trial 0 with value: 0.8571428571428572.
[32m[I 2023-04-26 11:18:00,239][39m Trial 1 finished with value: 0.831858407079646 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09863494736413875, 'depth': 5, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9920205008477605}. Best is trial 0 with value: 0.8571428571428572.
[32m[I 2023-04-26 11:18:01,530][39m Trial 2 finished with value: 0.8376068376068375 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.0418080352993393, 'depth': 4, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.4076941409027127}. Best is trial 0 with value: 0.8571428571428572.
[32m[I 2023-04-26 11:18:04,345][39m Trial 3 finished with value: 0.8521739130434783 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.03764584094738944, 'depth': 12, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS'}. Best is trial 0 with value: 0.8571428571428572.
[32m[I 2023-04-26 11:18:06,498][39m Trial 4 finished with value: 0.831858407079646 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09731565833749548, 'depth': 4, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 0 with value: 0.8571428571428572.
[32m[I 2023-04-26 11:18:07,803][39m Trial 5 finished with value: 0.8547008547008546 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.05226775054380917, 'depth': 2, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 4.501595961932313}. Best is trial 0 with value: 0.8571428571428572.
[32m[I 2023-04-26 11:18:09,782][39m Trial 6 finished with value: 0.8214285714285715 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09443532109175472, 'depth': 4, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.565514376610622}. Best is trial 0 with value: 0.8571428571428572.
[32m[I 2023-04-26 11:18:13,013][39m Trial 7 finished with value: 0.8521739130434783 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09977830830899556, 'depth': 2, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 1.985761557981277}. Best is trial 0 with value: 0.8571428571428572.
[32m[I 2023-04-26 11:18:23,834][39m Trial 8 finished with value: 0.8648648648648648 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09367604266577878, 'depth': 12, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.538198310495991}. Best is trial 8 with value: 0.8648648648648648.
[32m[I 2023-04-26 11:18:27,693][39m Trial 9 finished with value: 0.8421052631578947 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.0893384676944055, 'depth': 4, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS'}. Best is trial 8 with value: 0.8648648648648648.
[32m[I 2023-04-26 11:18:30,073][39m Trial 10 finished with value: 0.7627118644067795 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.010323799759937621, 'depth': 12, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.987365558978643}. Best is trial 8 with value: 0.8648648648648648.
