[32m[I 2023-04-26 12:33:42,520][39m A new study created in memory with name: no-name-6d548ebd-beeb-4546-9c18-e39eb979475b
[32m[I 2023-04-26 12:33:42,547][39m Trial 0 finished with value: 0.6842105263157895 and parameters: {'algorithm': 'brute', 'n_neighbors': 15, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 0 with value: 0.6842105263157895.
[32m[I 2023-04-26 12:33:42,558][39m Trial 1 finished with value: 0.6371681415929203 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 15, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 0 with value: 0.6842105263157895.
[32m[I 2023-04-26 12:33:42,569][39m Trial 2 finished with value: 0.6181818181818182 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 30, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 0 with value: 0.6842105263157895.
[32m[I 2023-04-26 12:33:42,576][39m Trial 3 finished with value: 0.709090909090909 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 10, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 3 with value: 0.709090909090909.
[32m[I 2023-04-26 12:33:42,587][39m Trial 4 finished with value: 0.6181818181818182 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 11, 'weights': 'uniform', 'metric': 'minkowski'}. Best is trial 3 with value: 0.709090909090909.
[32m[I 2023-04-26 12:33:42,593][39m Trial 5 finished with value: 0.7027027027027026 and parameters: {'algorithm': 'auto', 'n_neighbors': 14, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 3 with value: 0.709090909090909.
[32m[I 2023-04-26 12:33:42,600][39m Trial 6 finished with value: 0.6972477064220184 and parameters: {'algorithm': 'auto', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 3 with value: 0.709090909090909.
[32m[I 2023-04-26 12:33:42,625][39m Trial 7 finished with value: 0.6964285714285714 and parameters: {'algorithm': 'brute', 'n_neighbors': 13, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 3 with value: 0.709090909090909.
[32m[I 2023-04-26 12:33:42,632][39m Trial 8 finished with value: 0.6846846846846846 and parameters: {'algorithm': 'auto', 'n_neighbors': 28, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 3 with value: 0.709090909090909.
[32m[I 2023-04-26 12:33:42,643][39m Trial 9 finished with value: 0.574074074074074 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 25, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 3 with value: 0.709090909090909.
[32m[I 2023-04-26 12:33:42,653][39m Trial 10 finished with value: 0.7130434782608696 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 2, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 10 with value: 0.7130434782608696.
[32m[I 2023-04-26 12:33:42,666][39m Trial 11 finished with value: 0.7130434782608696 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 1, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 10 with value: 0.7130434782608696.
[32m[I 2023-04-26 12:33:42,676][39m Trial 12 finished with value: 0.7130434782608696 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 1, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 10 with value: 0.7130434782608696.
[32m[I 2023-04-26 12:33:42,687][39m Trial 13 finished with value: 0.7130434782608696 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 2, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 10 with value: 0.7130434782608696.
[32m[I 2023-04-26 12:33:42,698][39m Trial 14 finished with value: 0.6972477064220184 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 10 with value: 0.7130434782608696.
[32m[I 2023-04-26 12:33:42,708][39m Trial 15 finished with value: 0.7079646017699116 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 10 with value: 0.7130434782608696.
[32m[I 2023-04-26 12:33:42,719][39m Trial 16 finished with value: 0.709090909090909 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 20, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 10 with value: 0.7130434782608696.
[32m[I 2023-04-26 12:33:42,730][39m Trial 17 finished with value: 0.6972477064220184 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 10 with value: 0.7130434782608696.
[32m[I 2023-04-26 12:33:42,738][39m Trial 18 finished with value: 0.6140350877192983 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 21, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 10 with value: 0.7130434782608696.
[32m[I 2023-04-26 12:33:42,759][39m Trial 19 finished with value: 0.709090909090909 and parameters: {'algorithm': 'brute', 'n_neighbors': 7, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 10 with value: 0.7130434782608696.
[32m[I 2023-04-26 12:33:42,770][39m Trial 20 finished with value: 0.7130434782608696 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 1, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 10 with value: 0.7130434782608696.
[32m[I 2023-04-26 12:33:42,781][39m Trial 21 finished with value: 0.7207207207207208 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 3, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:42,792][39m Trial 22 finished with value: 0.7207207207207208 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 3, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:42,802][39m Trial 23 finished with value: 0.709090909090909 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:42,813][39m Trial 24 finished with value: 0.7079646017699116 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 4, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:42,824][39m Trial 25 finished with value: 0.709090909090909 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:42,839][39m Trial 26 finished with value: 0.6728971962616822 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 3, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:42,850][39m Trial 27 finished with value: 0.7207207207207208 and parameters: {'algorithm': 'auto', 'n_neighbors': 3, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:42,857][39m Trial 28 finished with value: 0.6964285714285714 and parameters: {'algorithm': 'auto', 'n_neighbors': 18, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 21 with value: 0.7207207207207208.
