
[32m[I 2023-04-26 14:21:06,312][39m A new study created in memory with name: no-name-4866676b-5866-4b25-8182-08e62c373221
[32m[I 2023-04-26 14:21:09,026][39m Trial 0 finished with value: 0.8433734939759037 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.07383952011678557, 'depth': 10, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 4.944082534058969}. Best is trial 0 with value: 0.8433734939759037.
[32m[I 2023-04-26 14:21:10,356][39m Trial 1 finished with value: 0.8043478260869564 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.03182121583555532, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.6470455043621041}. Best is trial 0 with value: 0.8433734939759037.
[32m[I 2023-04-26 14:21:20,101][39m Trial 2 finished with value: 0.7865168539325843 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.0796193087253459, 'depth': 12, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS'}. Best is trial 0 with value: 0.8433734939759037.
[32m[I 2023-04-26 14:21:21,500][39m Trial 3 finished with value: 0.7659574468085106 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08274507257357556, 'depth': 1, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.6549595270346387}. Best is trial 0 with value: 0.8433734939759037.
[32m[I 2023-04-26 14:21:24,422][39m Trial 4 finished with value: 0.8735632183908046 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07916839791578119, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.16839166214007406}. Best is trial 4 with value: 0.8735632183908046.
[32m[I 2023-04-26 14:21:30,549][39m Trial 5 finished with value: 0.7912087912087912 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.05287960206150844, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.087851782510999}. Best is trial 4 with value: 0.8735632183908046.
[32m[I 2023-04-26 14:21:39,378][39m Trial 6 finished with value: 0.8 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.07565052336210384, 'depth': 4, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.302970106085526}. Best is trial 4 with value: 0.8735632183908046.
[32m[I 2023-04-26 14:21:45,787][39m Trial 7 finished with value: 0.8433734939759037 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09543893635704284, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8863523261384598}. Best is trial 4 with value: 0.8735632183908046.
[32m[I 2023-04-26 14:21:47,126][39m Trial 8 finished with value: 0.7912087912087912 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.04394624366125372, 'depth': 2, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 4 with value: 0.8735632183908046.
[32m[I 2023-04-26 14:21:54,235][39m Trial 9 finished with value: 0.8333333333333333 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08049871069630354, 'depth': 10, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5646392330345336}. Best is trial 4 with value: 0.8735632183908046.
[32m[I 2023-04-26 14:21:55,390][39m Trial 10 finished with value: 0.7608695652173912 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.014413785497955668, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.11873950893647586}. Best is trial 4 with value: 0.8735632183908046.
[32m[I 2023-04-26 14:21:58,752][39m Trial 11 finished with value: 0.8470588235294119 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.06454516390387532, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 0.7242714307391616}. Best is trial 4 with value: 0.8735632183908046.
[32m[I 2023-04-26 14:22:01,681][39m Trial 12 finished with value: 0.8235294117647058 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06384830146390787, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 0.0672363782767178}. Best is trial 4 with value: 0.8735632183908046.
[32m[I 2023-04-26 14:22:08,304][39m Trial 13 finished with value: 0.8292682926829268 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09693692356678922, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 0.2767785499128035}. Best is trial 4 with value: 0.8735632183908046.
[32m[I 2023-04-26 14:22:10,450][39m Trial 14 finished with value: 0.8539325842696629 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06134920555205486, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 4 with value: 0.8735632183908046.
[32m[I 2023-04-26 14:22:11,982][39m Trial 15 finished with value: 0.8 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.04330137128850956, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 4 with value: 0.8735632183908046.
[32m[I 2023-04-26 14:22:14,377][39m Trial 16 finished with value: 0.8539325842696629 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06303833549131921, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 4 with value: 0.8735632183908046.
[32m[I 2023-04-26 14:22:17,778][39m Trial 17 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08904687039478773, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 4 with value: 0.8735632183908046.
[32m[I 2023-04-26 14:22:25,607][39m Trial 18 finished with value: 0.8 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08978142554241025, 'depth': 4, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS'}. Best is trial 4 with value: 0.8735632183908046.
[32m[I 2023-04-26 14:22:29,166][39m Trial 19 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08843314016345492, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.10417546446767943}. Best is trial 4 with value: 0.8735632183908046.
[32m[I 2023-04-26 14:22:30,918][39m Trial 20 finished with value: 0.8043478260869564 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07113453289018043, 'depth': 3, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.12703830564669333}. Best is trial 4 with value: 0.8735632183908046.
[32m[I 2023-04-26 14:22:34,985][39m Trial 21 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08863931857133707, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.3203594131366068}. Best is trial 4 with value: 0.8735632183908046.
[32m[I 2023-04-26 14:22:40,410][39m Trial 22 finished with value: 0.8333333333333333 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09924862162757447, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.30515294457946435}. Best is trial 4 with value: 0.8735632183908046.
[32m[I 2023-04-26 14:22:42,835][39m Trial 23 finished with value: 0.8470588235294119 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08700437089011057, 'depth': 5, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.3346165583800387}. Best is trial 4 with value: 0.8735632183908046.
[32m[I 2023-04-26 14:22:47,926][39m Trial 24 finished with value: 0.8837209302325582 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09057259006528753, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.2747718870246382}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:22:51,086][39m Trial 25 finished with value: 0.8539325842696629 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07076135826313516, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.3386168259426141}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:23:01,397][39m Trial 26 finished with value: 0.8470588235294119 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09329628935947534, 'depth': 10, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.2671597869759065}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:23:03,895][39m Trial 27 finished with value: 0.8470588235294119 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08479721872519262, 'depth': 5, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.46689837750257585}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:23:06,330][39m Trial 28 finished with value: 0.7865168539325843 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.05303576288267148, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.2287558783932887}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:23:08,736][39m Trial 29 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07520314213924319, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.4476661562691107}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:23:11,157][39m Trial 30 finished with value: 0.8433734939759037 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07501269289790989, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.45476107884216854}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:23:14,295][39m Trial 31 finished with value: 0.8837209302325582 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09173976279113262, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.15227931525184962}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:23:17,105][39m Trial 32 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07832353606808372, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.21070562122618292}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:23:19,734][39m Trial 33 finished with value: 0.8433734939759037 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08083878088181187, 'depth': 10, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.19693959990522353}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:23:23,640][39m Trial 34 finished with value: 0.8674698795180722 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09365517633047565, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.39655430676090836}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:23:27,771][39m Trial 35 finished with value: 0.8705882352941177 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0935550063484536, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.387226704730274}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:23:35,283][39m Trial 36 finished with value: 0.8235294117647058 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09874740823764946, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.2015361143644845}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:23:36,550][39m Trial 37 finished with value: 0.7446808510638298 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.014465289738549963, 'depth': 4, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.17644483438930395}. Best is trial 24 with value: 0.8837209302325582.
